Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52,Coeff 53,Coeff 54,Coeff 55,Coeff 56,Coeff 57
-4.843052e+02,-4.639595e+02,-4.626996e+02,-4.621104e+02,-4.575687e+02,-4.588120e+02,-4.623944e+02,-4.577589e+02,-4.552873e+02,-4.305453e+02,-3.924593e+02,-3.528958e+02,-3.236598e+02,-3.002805e+02,-2.775224e+02,-2.595432e+02,-2.383555e+02,-1.644326e+02,-1.201715e+02,-1.144177e+02,-1.198770e+02,-1.238943e+02,-1.156194e+02,-1.057420e+02,-9.815604e+01,-9.720288e+01,-8.321198e+01,-6.973978e+01,-6.573833e+01,-7.023619e+01,-5.614603e+01,-4.766094e+01,-3.077086e+01,-3.310238e+01,-3.478400e+01,-2.895043e+01,-2.629079e+01,-1.233747e+01,-2.757397e+01,-8.015105e+01,-1.407440e+02,-2.134485e+02,-3.093043e+02,-3.862826e+02,-4.416523e+02,-4.602298e+02,-4.595051e+02,-4.610912e+02,-4.599169e+02,-4.629678e+02,-4.604488e+02,-4.611165e+02,-4.641676e+02,-4.663939e+02,-4.646391e+02,-4.620839e+02,-4.617191e+02
4.593749e+01,6.304711e+01,6.238532e+01,6.399261e+01,6.852907e+01,6.607664e+01,6.119266e+01,6.579330e+01,7.114061e+01,1.013512e+02,1.349471e+02,1.503019e+02,1.455275e+02,1.380026e+02,1.415712e+02,1.386674e+02,1.294144e+02,1.131236e+02,9.133027e+01,7.461984e+01,7.497281e+01,7.621046e+01,7.563988e+01,7.898520e+01,7.817702e+01,7.638358e+01,7.746858e+01,7.478233e+01,6.761894e+01,6.886560e+01,7.017529e+01,6.332011e+01,5.639029e+01,5.327540e+01,4.766936e+01,4.559834e+01,4.214077e+01,4.685743e+01,6.198116e+01,8.060561e+01,1.098007e+02,1.351934e+02,1.483244e+02,1.158955e+02,8.254445e+01,6.783130e+01,6.708450e+01,6.600661e+01,6.711090e+01,6.409052e+01,6.846391e+01,6.950391e+01,6.416545e+01,6.076254e+01,6.235987e+01,6.598160e+01,6.626208e+01
1.862505e+01,1.597491e+01,1.304637e+01,1.569510e+01,2.173488e+01,2.245038e+01,1.765816e+01,1.939059e+01,2.573277e+01,4.883677e+01,6.062113e+01,4.828785e+01,2.651344e+01,9.735737e+00,5.559197e+00,8.573758e+00,-4.425838e-01,-8.608084e+00,-1.223948e+01,-1.623619e+01,-1.277803e+01,-1.557735e+01,-2.188433e+01,-2.420149e+01,-2.483408e+01,-2.492656e+01,-3.148453e+01,-3.457973e+01,-3.774461e+01,-3.640399e+01,-4.486224e+01,-5.206010e+01,-5.791344e+01,-5.807385e+01,-5.590046e+01,-5.830587e+01,-6.185606e+01,-6.839156e+01,-6.875812e+01,-5.634222e+01,-4.135686e+01,-3.298391e+01,-2.832492e+01,-6.926443e+00,1.338831e+01,1.816426e+01,1.600506e+01,1.751970e+01,1.791801e+01,1.686812e+01,2.138431e+01,2.501552e+01,1.971754e+01,1.501845e+01,1.568475e+01,1.973894e+01,1.915469e+01
4.495400e+00,-3.230297e+00,-2.892338e+00,-9.763165e-01,3.756211e+00,5.781135e+00,4.012874e+00,5.884471e+00,7.351445e+00,2.414738e+01,3.474409e+01,5.022804e+01,5.288203e+01,4.635156e+01,4.682532e+01,4.998244e+01,4.784369e+01,1.986334e+01,4.269058e+00,-4.006814e+00,-1.191579e+01,-2.189664e+01,-2.109013e+01,-1.796524e+01,-2.106638e+01,-2.667721e+01,-2.476084e+01,-2.444634e+01,-2.377086e+01,-1.954422e+01,-1.945879e+01,-1.642831e+01,-1.414976e+01,-1.848401e+01,-1.518282e+01,-1.413262e+01,-1.163043e+01,-8.197044e+00,-4.741115e+00,-8.454071e+00,-1.995030e+01,-2.210524e+01,-2.012685e+01,-2.442801e+01,-1.616382e+01,-5.412857e+00,-4.369498e+00,-1.412796e+00,-6.701845e-01,-1.656356e+00,7.159472e-03,2.985547e+00,1.578443e+00,-4.548025e+00,-2.939089e+00,1.251405e+00,-8.618027e-02
7.795280e+00,8.856533e+00,1.378730e+01,1.312940e+01,8.307558e+00,5.603305e+00,7.231414e+00,1.125845e+01,7.451468e+00,1.533505e+01,1.991187e+01,2.676733e+01,2.112122e+01,5.198072e+00,-1.064727e+01,-1.528804e+01,-1.263413e+01,-1.837228e+01,-1.580593e+01,-1.102982e+01,-4.042939e+00,-2.496631e+00,-5.730518e+00,-2.723444e+00,-2.803477e+00,-1.964640e+00,2.452342e-01,3.339718e+00,5.299734e+00,4.979198e+00,4.529109e+00,9.906241e+00,8.970002e+00,7.201209e+00,5.692669e+00,2.081739e+00,-4.147271e-01,-1.425356e+00,-6.373014e+00,-4.126193e+00,-8.338715e-01,7.803577e+00,1.673751e+01,1.068460e+01,-7.990265e-01,4.696580e+00,9.670343e+00,1.084222e+01,1.241703e+01,1.018753e+01,8.558064e+00,9.756981e+00,1.188299e+01,7.399981e+00,1.065943e+01,1.263971e+01,1.205938e+01
1.316365e+01,2.019542e+01,2.568102e+01,2.262244e+01,1.620336e+01,1.529945e+01,1.410815e+01,1.844645e+01,1.461625e+01,1.582765e+01,1.388219e+01,-4.192664e+00,-3.191838e+00,-6.884940e-01,-1.178830e+01,-6.394169e+00,2.720356e+00,5.241049e+00,4.751025e+00,1.052991e+01,1.914488e+01,1.659008e+01,1.567883e+01,2.213717e+01,2.170377e+01,2.272815e+01,2.439999e+01,2.376168e+01,1.961877e+01,1.845594e+01,1.389150e+01,1.259964e+01,1.451939e+01,1.624404e+01,1.982992e+01,1.913612e+01,1.991644e+01,1.941074e+01,1.853664e+01,2.166013e+01,1.744945e+01,9.130220e+00,8.481325e+00,1.705089e+01,1.568081e+01,1.853146e+01,2.232651e+01,2.024604e+01,2.178927e+01,1.910003e+01,1.712884e+01,1.799313e+01,1.884869e+01,1.923939e+01,2.332806e+01,2.176598e+01,2.233467e+01
1.167109e+01,1.588784e+01,1.951947e+01,1.632332e+01,1.170724e+01,1.396129e+01,1.107654e+01,1.231774e+01,9.153550e+00,4.731446e+00,-1.908163e+00,-5.065452e+00,7.403070e-01,6.265837e+00,2.347767e+00,6.518075e+00,3.898260e+00,-1.255227e+01,-1.432613e+01,-1.205641e+01,-1.047404e+01,-1.167981e+01,-1.188386e+01,-8.458084e+00,-7.817719e+00,-7.346911e+00,-1.005905e+01,-1.297966e+01,-1.579115e+01,-1.556626e+01,-1.512474e+01,-1.388753e+01,-1.087207e+01,-9.306644e+00,-5.768276e+00,-4.387027e+00,-7.441503e+00,-9.748978e+00,-1.217095e+01,-1.179732e+01,-1.147661e+00,8.319208e+00,1.569873e+01,9.619348e+00,1.358193e+01,1.754450e+01,1.695745e+01,1.426719e+01,1.454701e+01,1.254324e+01,1.211559e+01,1.183955e+01,9.706074e+00,1.353030e+01,1.816866e+01,1.553187e+01,1.481212e+01
8.548138e+00,8.321963e+00,1.027539e+01,9.521061e+00,5.233576e+00,6.702995e+00,6.892344e+00,5.316977e+00,2.306737e-01,-1.262177e+01,-2.326950e+01,-1.405210e+01,-6.210355e+00,-5.763732e-01,5.178396e+00,9.082038e+00,1.016321e+01,2.683997e+01,3.475388e+01,3.751514e+01,3.389326e+01,3.389598e+01,2.983986e+01,2.684286e+01,2.751412e+01,2.912212e+01,2.789045e+01,2.525695e+01,2.403096e+01,2.452646e+01,2.347378e+01,2.540865e+01,2.995387e+01,3.042391e+01,2.770107e+01,2.677795e+01,2.172760e+01,2.637127e+01,2.186971e+01,1.483681e+01,1.199288e+01,1.154319e+01,9.044033e+00,9.474340e+00,7.348872e+00,1.045144e+01,8.337150e+00,8.381691e+00,6.895388e+00,5.939463e+00,6.342713e+00,3.209899e+00,1.297615e+00,4.118160e+00,9.101104e+00,7.883122e+00,3.981882e+00
7.757059e+00,6.013097e+00,5.903499e+00,8.208541e+00,9.611673e+00,1.210045e+01,1.468377e+01,1.408850e+01,6.261297e+00,-1.282576e+01,-1.437401e+01,-1.315307e+01,-1.389903e+01,-4.682281e+00,8.423999e+00,9.955982e+00,2.719456e+00,-9.962849e+00,-1.615251e+01,-1.450714e+01,-1.496340e+01,-1.362055e+01,-1.437892e+01,-1.355685e+01,-1.732395e+01,-2.382180e+01,-2.868766e+01,-2.708538e+01,-2.820323e+01,-2.862805e+01,-3.058386e+01,-3.174555e+01,-2.866594e+01,-2.572390e+01,-2.898685e+01,-3.048167e+01,-3.036803e+01,-3.012389e+01,-3.265233e+01,-2.997314e+01,-2.373820e+01,-1.506977e+01,-4.509839e+00,2.329570e+00,4.376361e+00,6.948193e+00,6.878139e+00,9.231984e+00,6.800961e+00,7.039916e+00,8.076278e+00,4.667315e+00,4.732108e+00,4.792045e+00,8.464085e+00,7.148129e+00,1.843741e+00
4.740628e+00,2.815626e+00,1.410973e+00,4.874434e+00,5.565646e+00,5.715534e+00,1.069426e+01,1.149778e+01,2.974043e+00,-1.948170e+01,-1.434700e+01,-1.031420e+01,-1.637171e+01,-1.696176e+01,-1.271364e+01,-5.707663e+00,-9.892668e+00,-3.733778e+00,3.230475e+00,8.651661e+00,1.755639e+01,1.902937e+01,1.707654e+01,1.724350e+01,1.418129e+01,1.612126e+01,1.599184e+01,1.490600e+01,1.377334e+01,1.123808e+01,1.219993e+01,1.033976e+01,7.046047e+00,1.050675e+01,1.124844e+01,4.411489e+00,-3.293500e+00,-9.564035e+00,-1.266887e+01,-1.443031e+01,-1.077093e+01,-7.486778e+00,-1.506968e+01,-1.428259e+01,-2.354239e+00,3.758975e+00,5.263924e+00,6.748235e+00,5.247785e+00,6.693916e+00,9.386161e+00,9.171184e+00,9.059932e+00,8.426594e+00,9.545995e+00,6.254645e+00,2.217433e+00
