Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20
-4.859491e+02,-4.582669e+02,-3.840176e+02,-2.750580e+02,-1.922652e+02,-1.403995e+02,-1.086669e+02,-9.427562e+01,-1.142708e+02,-1.030539e+02,-8.697385e+01,-9.833700e+01,-1.404478e+02,-2.022984e+02,-2.753505e+02,-3.519644e+02,-4.076323e+02,-4.524401e+02,-4.645996e+02,-4.685521e+02
2.923273e+01,5.010221e+01,8.797748e+01,1.357672e+02,1.290431e+02,1.083848e+02,9.781277e+01,9.443177e+01,9.070222e+01,8.752122e+01,1.022505e+02,1.230316e+02,1.467446e+02,1.664431e+02,1.672764e+02,1.460299e+02,1.023519e+02,5.904046e+01,4.693999e+01,4.244453e+01
1.723166e+01,4.938654e+00,-2.030446e+01,-2.010448e+01,-3.431816e+01,-4.370562e+01,-4.758649e+01,-4.244863e+01,-3.055603e+01,-3.855614e+01,-4.884432e+01,-5.163456e+01,-4.692221e+01,-2.940431e+01,-4.454135e+00,1.111184e+01,2.077561e+01,1.498697e+01,1.322555e+01,1.078000e+01
7.209733e+00,-1.685860e+01,-6.511282e+01,-6.898269e+01,-5.706651e+01,-4.933010e+01,-4.772536e+01,-4.704980e+01,-4.361265e+01,-4.144827e+01,-4.719885e+01,-5.706261e+01,-5.569511e+01,-5.696163e+01,-5.329812e+01,-3.642107e+01,-2.114655e+01,-8.319541e+00,-2.984407e+00,-4.244252e+00
4.261183e+00,-3.570917e+00,-1.043931e+01,-7.876538e+00,-2.355701e+01,-3.463615e+01,-3.931501e+01,-4.189514e+01,-3.772217e+01,-3.969885e+01,-4.022838e+01,-4.165181e+01,-3.992246e+01,-2.832132e+01,-9.895999e+00,-3.281888e+00,-1.058464e+01,-2.556719e+00,3.661569e+00,2.921344e+00
6.947783e+00,1.959048e+01,5.243402e+01,5.932685e+01,5.960072e+01,5.533515e+01,5.593716e+01,6.034701e+01,5.998608e+01,5.981089e+01,5.718465e+01,5.649575e+01,5.014473e+01,3.876589e+01,3.139025e+01,1.545813e+01,6.998532e+00,8.566055e+00,1.186293e+01,1.236145e+01
1.048658e+01,2.680581e+01,3.031812e+01,3.692847e+00,-8.918539e+00,-1.764478e+01,-2.000912e+01,-2.178236e+01,-2.438628e+01,-2.849677e+01,-3.006745e+01,-3.018810e+01,-2.867531e+01,-1.925742e+01,-1.374982e+01,-3.047418e+00,4.160314e+00,8.842949e+00,8.649748e+00,1.089595e+01
1.102581e+01,1.521702e+01,8.627140e+00,-8.143318e-01,-2.314944e+00,3.271996e+00,7.351523e+00,8.568533e+00,1.315419e+01,1.735136e+01,1.361936e+01,1.279036e+01,9.304192e+00,2.836656e+00,-5.370005e+00,-1.180687e+01,-3.621926e+00,5.082789e+00,3.294794e+00,6.000010e+00
7.222865e+00,-1.626349e+00,-1.307324e+01,-1.962266e+01,-1.533739e+01,-1.559731e+01,-1.332250e+01,-1.142045e+01,-9.067442e+00,-4.874000e+00,-8.716624e+00,-7.094212e+00,-4.490605e-01,3.424199e-01,1.001253e+00,2.966492e+00,7.400007e-01,6.406022e+00,5.542682e+00,7.001699e+00
1.903673e-01,-1.033852e+01,1.906513e+00,3.557919e+00,-3.933002e-01,6.171390e+00,1.276838e+01,1.771092e+01,1.564328e+01,1.744127e+01,1.732261e+01,1.543998e+01,1.047484e+01,5.092877e+00,6.996387e+00,1.271404e+01,8.465851e+00,8.463230e+00,8.659058e+00,9.157563e+00
-6.739075e+00,-8.254121e+00,4.461267e+00,-1.002567e+01,-9.853290e+00,-9.755939e+00,-8.873091e+00,-1.145816e+01,-1.230831e+01,-1.500663e+01,-1.262433e+01,-9.504124e+00,-4.885396e+00,-1.706178e+00,8.315028e-01,4.952750e+00,4.352521e+00,3.815247e+00,2.801720e+00,4.090008e+00
-9.600876e+00,-3.173084e+00,-1.610460e+00,-9.257603e+00,-8.073027e+00,-3.480873e+00,-3.327679e+00,-4.143481e+00,-1.376362e+00,-1.530522e+00,-1.930632e+00,-2.824167e+00,-4.321222e+00,-7.721649e+00,-4.874902e+00,-9.810390e+00,-8.749166e+00,-4.168334e+00,-7.426023e+00,-5.062119e+00
-7.030772e+00,-2.842305e+00,-6.749484e+00,-2.441457e+01,-2.530556e+01,-2.747187e+01,-3.516595e+01,-4.161792e+01,-3.738018e+01,-3.577495e+01,-3.653088e+01,-3.229366e+01,-2.555611e+01,-2.142719e+01,-2.175969e+01,-2.033859e+01,-1.565301e+01,-6.278011e+00,-1.025486e+01,-8.749489e+00
