Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52,Coeff 53,Coeff 54
-5.000159e+02,-4.788251e+02,-4.784337e+02,-4.809325e+02,-4.839612e+02,-4.853274e+02,-4.791201e+02,-4.800166e+02,-4.756153e+02,-4.765262e+02,-4.773677e+02,-4.783954e+02,-4.793673e+02,-3.640318e+02,-2.662487e+02,-2.353876e+02,-1.843573e+02,-1.254938e+02,-1.030327e+02,-1.138961e+02,-1.281579e+02,-1.251452e+02,-1.324489e+02,-1.233116e+02,-1.167989e+02,-1.197206e+02,-1.121517e+02,-9.256744e+01,-7.922748e+01,-7.293572e+01,-6.741799e+01,-4.845538e+01,-3.460269e+01,-3.377938e+01,-5.093769e+01,-9.550298e+01,-1.693918e+02,-2.417083e+02,-3.101248e+02,-3.930255e+02,-4.447000e+02,-4.763990e+02,-4.804822e+02,-4.807273e+02,-4.774313e+02,-4.751750e+02,-4.667285e+02,-4.617867e+02,-4.700329e+02,-4.767561e+02,-4.770605e+02,-4.784080e+02,-4.820137e+02,-4.906872e+02
7.290239e+01,8.591940e+01,8.379625e+01,8.466826e+01,8.320186e+01,8.064935e+01,8.562880e+01,8.465113e+01,8.897873e+01,8.961176e+01,9.135002e+01,8.653397e+01,8.496233e+01,3.450076e+01,9.081717e+00,1.774994e+01,4.147869e+01,6.270214e+01,7.173412e+01,6.417216e+01,6.245672e+01,6.093356e+01,5.442943e+01,5.240717e+01,5.811107e+01,5.319726e+01,4.798048e+01,4.998554e+01,5.250013e+01,5.376604e+01,4.986686e+01,5.086462e+01,4.232637e+01,4.185486e+01,5.258308e+01,7.385239e+01,1.010472e+02,1.160981e+02,1.199418e+02,1.122307e+02,9.633617e+01,7.921107e+01,7.584825e+01,7.374808e+01,7.479916e+01,7.590343e+01,7.680693e+01,7.749480e+01,8.037449e+01,7.506750e+01,7.311620e+01,7.710866e+01,7.706335e+01,7.034477e+01
2.019768e+01,1.395224e+01,1.180470e+01,1.657545e+01,1.811629e+01,1.667617e+01,1.542549e+01,1.495545e+01,1.651152e+01,1.824847e+01,2.056793e+01,1.391180e+01,1.444679e+01,1.033917e+01,8.497137e+00,2.405916e+01,2.911984e+01,2.728464e+00,-8.164676e+00,1.672249e+00,4.404304e+00,1.029411e+01,1.292145e+01,5.841462e+00,1.798851e+00,-6.907180e+00,-1.440997e+01,-2.095388e+01,-2.325451e+01,-2.493027e+01,-3.265742e+01,-4.408209e+01,-5.388502e+01,-5.806327e+01,-7.370758e+01,-7.919069e+01,-6.144028e+01,-3.705883e+01,-3.072405e+01,-2.832470e+01,-2.698932e+00,1.010279e+01,1.198866e+01,1.072538e+01,7.990103e+00,9.894030e+00,6.086154e+00,2.490116e+00,7.257826e+00,6.651302e+00,7.257818e+00,1.414062e+01,1.174699e+01,1.086175e+01
3.033766e+00,2.178034e+00,5.391147e+00,8.292353e+00,7.724441e+00,9.017482e+00,6.296496e+00,5.847539e+00,7.658190e+00,7.258567e+00,3.939077e+00,3.238615e+00,6.276428e+00,1.851522e+01,1.689066e+01,1.545237e+01,7.259428e+00,-5.927711e+00,-8.520271e+00,-1.395696e+01,-2.520495e+01,-2.446293e+01,-2.099427e+01,-2.236978e+01,-2.232726e+01,-2.810218e+01,-2.280396e+01,-2.085079e+01,-2.100023e+01,-2.141610e+01,-2.385334e+01,-2.038928e+01,-1.270804e+01,-1.246977e+01,-1.453833e+01,-1.460005e+01,-1.682859e+01,-2.329717e+01,-2.757050e+01,-2.868985e+01,-2.012482e+01,-7.521008e+00,-4.834778e+00,-1.193425e+00,-3.260490e+00,-2.279446e+00,-3.435225e+00,-9.214556e-01,7.694137e+00,7.134449e+00,6.448030e+00,6.852638e+00,2.976649e+00,4.516500e+00
1.314034e+01,1.942585e+01,2.399054e+01,2.532100e+01,2.234322e+01,2.151880e+01,2.005484e+01,1.933194e+01,2.370978e+01,2.338277e+01,2.082493e+01,2.335151e+01,2.318725e+01,7.382995e+00,1.078146e+01,2.327326e+01,1.415383e+01,-4.963812e+00,-1.418434e+01,-9.294143e+00,-8.322384e+00,-5.357073e+00,6.026161e-01,4.743593e+00,8.339841e+00,8.625123e+00,6.298071e+00,7.808425e-01,3.263821e-01,1.835844e+00,3.346655e+00,7.020046e-01,6.535971e-01,1.157885e-01,-1.036743e+01,-9.134468e+00,1.720841e+00,2.540892e+00,1.059388e+01,1.697972e+01,1.414588e+01,1.700933e+01,1.816220e+01,2.231330e+01,1.985148e+01,1.938857e+01,2.201646e+01,1.831085e+01,1.648433e+01,1.256206e+01,6.260428e+00,4.868166e+00,1.136970e+01,1.537115e+01
1.710501e+01,1.991941e+01,2.118160e+01,2.083834e+01,2.037428e+01,1.562774e+01,1.237927e+01,1.142686e+01,1.719926e+01,2.002232e+01,2.402685e+01,2.141863e+01,1.783671e+01,2.126154e+01,2.447351e+01,1.773841e+01,-3.296693e+00,1.216320e+01,2.750756e+01,2.977422e+01,2.797741e+01,3.301691e+01,3.996954e+01,4.379920e+01,4.631293e+01,4.739839e+01,4.772518e+01,5.136135e+01,4.537548e+01,4.795745e+01,5.062831e+01,4.165482e+01,4.241581e+01,4.635233e+01,4.942994e+01,5.288082e+01,4.369390e+01,3.026538e+01,1.934897e+01,1.547530e+01,1.758663e+01,2.223278e+01,2.259286e+01,2.310818e+01,2.093414e+01,1.690560e+01,1.469682e+01,1.131914e+01,1.443242e+01,1.643791e+01,1.762639e+01,1.928790e+01,2.283978e+01,2.480901e+01
1.456847e+01,1.392324e+01,1.013284e+01,8.648472e+00,1.325316e+01,1.164040e+01,5.229638e+00,3.452593e+00,7.949130e+00,1.219180e+01,1.431078e+01,8.896992e+00,9.759733e+00,1.157878e+01,1.692372e+01,1.872862e+01,6.677008e-01,-2.256104e+01,-2.949084e+01,-2.381432e+01,-2.013159e+01,-2.108231e+01,-2.449483e+01,-2.276522e+01,-2.651904e+01,-2.965051e+01,-3.544457e+01,-3.842716e+01,-4.164590e+01,-3.819529e+01,-3.633833e+01,-3.311243e+01,-2.787345e+01,-2.843132e+01,-2.411547e+01,-2.096479e+01,-1.857771e+01,-1.770436e+01,-1.494466e+01,4.713761e-01,4.925189e+00,9.132720e+00,8.484773e+00,6.638755e+00,7.801650e+00,5.131714e+00,6.873273e+00,5.342767e+00,6.310821e+00,1.029277e+01,1.421391e+01,1.688182e+01,1.693172e+01,1.865295e+01
1.689484e+01,1.520104e+01,7.082295e+00,5.216650e+00,1.149965e+01,1.471879e+01,8.189453e+00,5.966371e+00,8.842220e+00,9.741278e+00,7.085265e+00,6.599356e+00,1.369227e+01,1.849605e+01,2.002673e+01,1.160283e+01,2.970304e+01,5.305836e+01,6.315039e+01,5.916327e+01,4.971578e+01,4.237175e+01,3.951428e+01,4.362563e+01,4.755868e+01,4.897339e+01,4.778701e+01,4.745560e+01,4.752888e+01,5.061417e+01,5.274734e+01,5.532836e+01,5.615866e+01,5.696330e+01,5.459041e+01,4.752948e+01,4.044722e+01,3.478822e+01,3.097367e+01,3.107291e+01,2.516870e+01,1.671032e+01,1.577629e+01,1.207397e+01,1.259136e+01,1.189981e+01,1.092213e+01,3.724820e+00,4.188899e+00,7.450430e+00,5.704202e+00,5.019557e+00,6.299290e+00,8.400177e+00
1.730189e+01,1.584583e+01,1.056798e+01,5.689330e+00,6.897206e+00,9.874716e+00,5.785525e+00,4.647521e+00,7.627531e+00,2.822476e+00,2.677843e+00,6.535611e+00,1.233867e+01,4.805786e+00,1.701342e+00,-9.277205e+00,-1.855301e+01,-5.112857e+00,4.665468e+00,1.229109e+01,6.601853e+00,5.637087e+00,3.297879e+00,1.649634e+00,-5.549700e-01,-2.248092e+00,-7.368664e-01,-3.863088e-01,-2.545595e+00,-5.179918e+00,-4.627451e+00,-2.677112e+00,-6.867008e+00,-7.863636e+00,-7.610142e+00,-1.120403e+01,-1.435843e+01,-8.826264e+00,-4.608653e+00,9.670235e+00,1.335498e+01,4.840331e+00,4.040790e+00,-1.611166e+00,-1.176543e+00,-7.988099e-01,4.190226e+00,1.142832e+01,1.413989e+01,1.714619e+01,1.795411e+01,1.457502e+01,9.606336e+00,8.598110e+00
9.330208e+00,9.006832e+00,1.084961e+01,5.166039e+00,-8.616352e-02,3.594354e+00,2.534548e+00,1.669152e+00,4.418414e+00,-1.417871e+00,3.422007e-03,2.426254e+00,2.383109e+00,1.044977e+01,8.097994e+00,-1.033901e+00,-2.973520e+00,1.266577e+00,6.832726e+00,4.963642e+00,4.172234e+00,5.329928e+00,2.110191e+00,2.082019e+00,6.475024e+00,4.014194e+00,3.640517e+00,9.999696e+00,9.502597e+00,7.770088e+00,6.411498e+00,2.934400e+00,-5.623289e-01,-2.446565e+00,-5.980823e+00,-1.413145e+01,-1.730136e+01,-8.977522e+00,-1.205631e+00,6.250242e+00,8.418759e+00,3.515625e+00,6.336190e+00,2.900005e+00,6.612144e+00,6.713387e+00,1.646893e+00,5.871113e+00,2.908893e+00,2.231316e+00,2.134770e+00,1.125230e+00,-1.871325e+00,-2.572084e+00
