Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21
-4.956074e+02,-4.832667e+02,-4.808635e+02,-4.618242e+02,-3.772155e+02,-2.946354e+02,-2.317640e+02,-1.798943e+02,-1.447469e+02,-1.051090e+02,-9.187399e+01,-1.095663e+02,-1.111344e+02,-8.578648e+01,-7.642286e+01,-8.776646e+01,-1.196438e+02,-1.701466e+02,-2.240537e+02,-2.904228e+02,-3.613855e+02
2.383049e+01,3.704489e+01,3.915691e+01,6.269190e+01,1.021507e+02,9.821124e+01,8.218279e+01,7.141900e+01,6.024651e+01,4.784965e+01,2.806015e+01,2.694114e+01,3.398383e+01,3.628985e+01,4.080483e+01,6.121424e+01,9.758183e+01,1.352905e+02,1.577752e+02,1.612823e+02,1.384454e+02
1.479493e+01,1.930725e+01,1.834739e+01,3.532168e+01,4.717419e+01,4.018094e+01,1.908078e+01,-2.367434e+00,-1.572789e+01,-2.586598e+01,-3.099233e+01,-2.972132e+01,-3.215406e+01,-4.889616e+01,-6.071613e+01,-6.976554e+01,-6.758067e+01,-5.234835e+01,-2.920648e+01,-4.680943e-01,1.420030e+01
7.786853e+00,6.348745e+00,2.440883e+00,1.492853e+01,2.794530e+01,2.922158e+01,2.382174e+01,1.853834e+01,1.571794e+01,6.489670e+00,9.850721e-01,-2.519763e+00,-4.449768e+00,-6.099856e+00,-1.375228e+01,-2.516245e+01,-3.528490e+01,-4.607380e+01,-5.051966e+01,-4.076695e+01,-2.953597e+01
6.240714e+00,4.203403e+00,-7.024109e-01,8.991714e+00,1.281533e+01,1.203404e+01,-6.842703e+00,-1.506544e+01,-2.100037e+01,-3.921558e+01,-4.515872e+01,-3.953488e+01,-3.583169e+01,-3.534922e+01,-3.509800e+01,-3.441272e+01,-2.659063e+01,-1.047201e+01,-1.315761e+00,4.502606e+00,1.010296e+00
7.871313e+00,7.726477e+00,4.213310e+00,9.192311e+00,1.234984e+01,1.968730e+01,1.933899e+01,2.062774e+01,1.629020e+01,1.240077e+01,2.004021e+01,2.790547e+01,3.620189e+01,4.361831e+01,4.265128e+01,3.457468e+01,2.449462e+01,1.302494e+01,7.755507e+00,9.882750e+00,6.280782e+00
8.607780e+00,9.772398e+00,8.740053e+00,6.716262e+00,-2.337717e+01,-4.447910e+01,-3.852191e+01,-3.593441e+01,-3.833718e+01,-3.870007e+01,-3.335602e+01,-2.736524e+01,-2.703080e+01,-2.282182e+01,-2.682788e+01,-3.398963e+01,-2.846058e+01,-2.152697e+01,-2.440384e+01,-1.804646e+01,-7.206800e+00
7.252993e+00,8.618685e+00,9.178580e+00,1.215175e+00,6.719393e+00,1.948425e+01,2.762949e+01,2.767377e+01,3.716730e+01,3.855339e+01,4.052158e+01,4.058667e+01,4.082773e+01,3.575512e+01,2.523635e+01,1.665784e+01,1.005809e+01,4.352116e+00,2.088270e+00,-5.496101e+00,-5.917211e+00
5.636076e+00,6.070714e+00,6.304944e+00,-3.898448e+00,-8.322581e+00,-7.090034e+00,-1.090029e+01,-1.568058e+01,-8.134438e+00,-4.044137e+00,-2.433512e+00,-3.770100e+00,1.527243e+00,3.439193e+00,6.272037e+00,9.755946e+00,1.606605e+01,8.652628e+00,6.501719e+00,5.222631e+00,9.375810e+00
5.299696e+00,3.073194e+00,1.665122e+00,-8.145144e+00,-2.969767e+01,-2.809205e+01,-2.766198e+01,-2.301995e+01,-1.796846e+01,-1.148418e+01,-6.550243e+00,-9.239045e+00,-7.940560e+00,-1.325635e+01,-1.642914e+01,-1.541977e+01,-4.376120e+00,3.021245e+00,2.397098e+00,3.227858e+00,4.289393e+00
5.515142e+00,8.418620e-03,-2.857807e+00,-1.334622e+01,-1.253800e+01,-5.497001e+00,-3.413360e+00,-1.025513e+01,-1.907583e+01,-2.366706e+01,-2.312555e+01,-2.054820e+01,-1.800408e+01,-2.540309e+01,-2.731106e+01,-2.374567e+01,-1.885658e+01,-1.657926e+01,-1.286507e+01,-9.375016e+00,-2.999317e+00
4.676568e+00,-1.485586e+00,-4.420307e+00,-1.864388e+01,-4.036990e+00,1.094586e+01,1.516156e+01,1.326857e+01,1.267723e+01,1.856341e+01,1.753199e+01,1.260012e+01,1.238397e+01,1.314640e+01,9.726255e+00,5.068405e+00,4.156020e+00,4.204731e+00,6.098781e-01,3.255806e+00,6.511223e-01
2.593273e+00,-3.605741e-01,-1.685913e+00,-1.961161e+01,-2.975554e+01,-3.251635e+01,-3.119780e+01,-3.107920e+01,-3.472732e+01,-4.063730e+01,-4.217698e+01,-4.096936e+01,-3.189705e+01,-2.799198e+01,-2.668233e+01,-2.252546e+01,-1.360908e+01,-3.806284e+00,3.342295e+00,2.024102e+00,-2.293984e+00
