Coeff 1
-1.875008e+01
9.821347e+01
5.480920e+00
1.076291e+00
1.509606e+01
1.950269e+01
1.362742e+01
3.349016e+00
5.357650e+00
5.559422e+00
1.074249e+01
1.623061e+01
9.779423e+00
