Coeff 1
-3.731008e+01
1.107875e+02
1.036674e+01
5.236450e+00
2.112940e+01
2.603729e+00
-1.952875e-02
-1.627812e+01
1.443429e+01
1.524749e+01
3.000271e+00
-3.697136e+00
4.463151e-01
