Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23
-4.728162e+02,-4.491289e+02,-4.509440e+02,-4.403005e+02,-4.175676e+02,-3.579505e+02,-2.522063e+02,-1.200101e+02,-7.566136e+01,-8.710207e+01,-1.018872e+02,-8.723616e+01,-7.942641e+01,-9.831311e+01,-1.461620e+02,-1.881842e+02,-2.429736e+02,-3.295002e+02,-4.091593e+02,-4.462580e+02,-4.526876e+02,-4.551010e+02,-4.593545e+02
8.268594e+01,9.587223e+01,9.860095e+01,1.090297e+02,1.225877e+02,1.303607e+02,1.534668e+02,1.512178e+02,1.361875e+02,1.165678e+02,1.155760e+02,1.211639e+02,1.412593e+02,1.625947e+02,1.654487e+02,1.666581e+02,1.671163e+02,1.575427e+02,1.265936e+02,1.020297e+02,9.527116e+01,9.525002e+01,9.698707e+01
-2.697449e+00,-6.051452e+00,3.343090e-02,9.291025e+00,1.475743e+01,-5.730168e+00,-2.782481e+01,-4.513557e+01,-5.603799e+01,-6.480116e+01,-6.534978e+01,-7.498169e+01,-8.188336e+01,-7.653674e+01,-5.911002e+01,-4.299008e+01,-3.254780e+01,-2.327655e+01,-1.731581e+01,-4.281404e+00,-3.274805e+00,-6.700348e-01,5.205170e+00
-4.096175e+00,2.435250e+00,4.809681e+00,1.464805e+01,2.888054e+01,4.985155e+01,4.118962e+01,2.353886e+01,1.194438e+01,8.800948e-01,-3.733570e+00,-9.336990e+00,-2.602500e+01,-2.893725e+01,-2.153263e+01,-2.782798e+01,-3.667342e+01,-3.450410e+01,-2.505756e+01,-4.925144e+00,1.275167e+00,5.940201e-01,2.366225e+00
1.017755e+01,1.716109e+01,2.015576e+01,2.327868e+01,2.464552e+01,3.572304e+01,1.355037e+01,-1.555343e+01,-1.967172e+01,-1.428086e+01,-4.309954e+00,-6.039519e+00,-5.692848e+00,-8.441881e+00,-9.025860e+00,-1.138733e+01,-6.636950e+00,-4.886820e+00,5.307280e+00,1.239218e+01,1.890850e+01,1.794703e+01,1.710354e+01
4.240005e+00,1.024767e+01,1.412861e+01,9.364377e+00,3.082913e+00,1.040798e-01,1.811489e+00,3.263176e+00,1.095659e+01,2.961476e+01,3.789876e+01,4.790835e+01,5.310023e+01,4.688392e+01,4.501880e+01,4.223675e+01,3.154048e+01,1.698487e+01,1.445047e+01,1.032594e+01,1.250777e+01,1.188141e+01,9.846925e+00
4.297606e+00,1.577848e+01,1.935327e+01,1.130630e+01,1.542266e+01,1.577679e+01,4.120447e+00,-2.299889e+01,-2.804519e+01,-2.604960e+01,-3.188884e+01,-2.038217e+01,-1.551051e+01,-9.161417e+00,-1.116032e+01,-1.229047e+01,-1.181416e+01,7.835666e-01,1.831112e+01,1.461375e+01,1.338044e+01,1.498381e+01,1.010374e+01
8.655133e+00,1.213525e+01,1.377622e+01,7.871175e+00,8.315205e+00,1.052494e+01,8.513823e+00,5.313125e+00,1.143692e+01,2.486787e+01,2.436573e+01,2.057273e+01,1.812061e+01,1.543550e+01,1.571832e+01,1.549786e+01,1.172612e+01,7.816169e+00,1.377644e+01,1.225588e+01,1.004254e+01,1.416775e+01,1.346835e+01
1.079695e+01,6.413958e+00,4.727346e+00,5.127246e+00,-6.973681e+00,-1.444615e+01,-2.105745e+01,-1.883465e+01,-7.700914e+00,5.110172e+00,5.556418e+00,-2.109491e-01,-1.712027e+00,-2.644701e+00,-3.116799e+00,-9.536995e+00,-1.106199e+01,-9.327498e-01,9.900224e+00,6.174441e+00,6.765018e+00,9.241737e+00,1.096313e+01
7.589858e+00,7.909291e+00,6.635107e+00,2.663077e+00,-2.916685e+00,-7.599636e+00,-1.654494e+01,-1.472433e+01,-1.084715e+01,-9.802022e+00,-7.970406e+00,4.025113e+00,1.363280e+01,1.582120e+01,1.509594e+01,1.243426e+01,7.928679e+00,5.447412e+00,9.892036e+00,3.283868e+00,5.118731e+00,4.576569e+00,8.068535e+00
2.501564e+00,3.901891e+00,2.665059e+00,-6.636824e+00,-1.240231e+01,-2.266181e+01,-1.656230e+01,-9.099871e+00,-1.334844e+01,-1.682802e+01,-1.684691e+01,-1.318514e+01,-1.753794e+01,-1.980593e+01,-1.190841e+01,-4.943647e+00,-8.347954e+00,-6.104608e+00,-2.988504e+00,-2.527214e+00,2.918398e+00,2.631227e+00,3.358756e+00
1.815700e+00,-1.164524e+00,-5.158162e+00,-1.249876e+01,-2.221961e+01,-2.541844e+01,-1.434542e+01,-3.691378e+00,9.458617e-01,-1.961139e+00,-6.838212e+00,-1.104656e+01,-1.078851e+01,-1.422234e+01,-2.259816e+01,-2.145591e+01,-1.985309e+01,-1.443738e+01,-9.102525e+00,-6.699763e+00,-9.110504e-01,-3.289683e+00,-7.924144e+00
-2.330421e+00,-5.632872e+00,-6.215461e+00,-1.215420e+01,-1.705772e+01,-1.923907e+01,-1.122746e+01,-1.529731e+01,-1.243128e+01,-1.150425e+01,-1.098858e+01,-4.858163e+00,2.678727e+00,2.815527e+00,1.266826e+00,3.926334e-01,-5.776793e-01,-1.064701e+00,-3.059769e+00,-7.592285e+00,-8.174157e+00,-8.311722e+00,-1.062883e+01
