Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49
-4.849021e+02,-4.747504e+02,-4.739185e+02,-4.692063e+02,-4.689891e+02,-4.693289e+02,-4.734690e+02,-4.745103e+02,-4.743398e+02,-4.742121e+02,-4.772774e+02,-4.723383e+02,-4.705126e+02,-4.698981e+02,-4.746451e+02,-4.735922e+02,-4.735602e+02,-4.731672e+02,-4.694196e+02,-2.970853e+02,-1.232347e+02,-3.707335e+01,-1.843414e+01,-4.115261e+01,-8.265113e+01,-6.215492e+01,-2.937800e+01,-2.676438e+01,-5.530292e+01,-1.231736e+02,-2.190949e+02,-3.137282e+02,-4.029155e+02,-4.607803e+02,-4.695890e+02,-4.668258e+02,-4.710225e+02,-4.737988e+02,-4.746855e+02,-4.778556e+02,-4.786261e+02,-4.740321e+02,-4.740888e+02,-4.760787e+02,-4.745725e+02,-4.769637e+02,-4.792426e+02,-4.793918e+02,-4.774426e+02
3.330357e+01,4.196505e+01,4.189709e+01,4.721480e+01,5.006087e+01,4.987405e+01,4.543970e+01,4.488171e+01,4.423803e+01,4.361352e+01,4.275433e+01,4.565371e+01,4.667849e+01,4.751387e+01,4.404126e+01,4.541769e+01,4.478564e+01,4.388877e+01,4.386794e+01,8.111191e+01,7.428284e+01,5.514421e+01,3.357996e+01,2.446143e+01,3.138188e+01,2.688508e+01,4.228613e+01,6.167521e+01,9.119554e+01,1.164103e+02,1.392671e+02,1.332254e+02,8.573114e+01,4.972659e+01,3.889958e+01,3.913190e+01,4.074017e+01,4.124536e+01,4.352797e+01,4.081205e+01,3.878428e+01,4.190863e+01,4.344363e+01,4.184264e+01,4.194281e+01,4.031402e+01,3.958018e+01,3.887421e+01,4.071658e+01
1.515944e+01,1.449215e+01,1.239578e+01,1.518782e+01,2.065862e+01,2.054035e+01,1.903190e+01,1.988360e+01,1.850305e+01,1.689648e+01,2.074072e+01,1.825837e+01,1.764157e+01,1.791412e+01,1.852477e+01,1.939222e+01,1.777344e+01,1.512054e+01,8.822423e+00,-5.247338e+01,-7.496025e+01,-8.570197e+01,-8.813213e+01,-7.473064e+01,-6.161489e+01,-7.944970e+01,-1.023467e+02,-1.087908e+02,-1.052445e+02,-9.061485e+01,-6.030141e+01,-3.882111e+01,-1.636494e+01,7.472049e+00,1.003369e+01,7.127000e+00,9.847046e+00,1.330538e+01,1.777837e+01,1.705087e+01,1.475135e+01,1.253002e+01,1.631403e+01,1.588913e+01,1.308250e+01,1.413085e+01,1.686612e+01,1.648164e+01,1.731998e+01
6.555918e+00,3.669564e+00,1.447443e+00,3.007612e+00,6.063212e+00,4.759068e+00,5.227467e+00,5.883174e+00,5.454441e+00,4.661101e+00,7.019566e+00,6.349815e+00,7.590165e+00,6.791044e+00,6.432045e+00,5.931040e+00,4.501438e+00,3.002224e+00,4.334062e-01,-4.762106e+01,-4.178264e+01,-3.527429e+01,-2.448547e+01,-1.433562e+01,-1.259763e+01,7.058829e-01,-4.868182e+00,-1.244728e+01,-5.089347e-02,1.308057e+01,4.503238e+00,-2.251251e+01,-1.584816e+01,-6.633343e-01,1.151906e+01,1.438234e+01,7.810019e+00,6.273355e+00,4.977680e+00,3.979867e+00,3.942532e+00,1.568821e+00,4.725418e+00,3.138805e+00,6.659470e-01,1.420155e+00,3.122059e+00,5.481776e+00,7.289272e+00
9.714241e+00,9.569056e+00,9.532963e+00,1.147547e+01,1.154186e+01,8.661413e+00,9.384769e+00,8.265762e+00,7.915874e+00,9.144796e+00,6.694643e+00,1.107351e+01,1.503753e+01,1.420548e+01,1.251996e+01,9.990300e+00,9.657310e+00,1.044431e+01,1.443451e+01,7.345736e+00,-1.629371e+01,-1.363829e+01,-4.927665e+00,-8.990393e-01,4.470000e+00,-3.462752e+00,-8.832239e+00,-2.299631e+01,-3.553338e+01,-3.583768e+01,-6.175925e+00,2.152676e+01,2.076282e+01,1.044187e+01,9.557340e+00,1.610281e+01,1.359201e+01,1.167762e+01,7.075847e+00,7.033694e+00,8.273167e+00,1.015962e+01,1.088965e+01,8.754690e+00,8.107201e+00,6.126443e+00,3.793285e+00,8.735080e+00,1.238946e+01
1.300741e+01,1.256559e+01,1.551326e+01,1.754928e+01,1.855100e+01,1.590225e+01,1.665717e+01,1.407305e+01,1.116704e+01,1.346654e+01,1.016406e+01,1.469507e+01,1.730298e+01,1.815341e+01,1.960477e+01,1.634998e+01,1.680669e+01,1.725387e+01,2.005013e+01,4.044323e+01,5.966669e+01,6.530313e+01,7.133116e+01,7.827572e+01,7.960658e+01,7.542448e+01,6.854626e+01,5.530003e+01,3.908369e+01,2.077802e+01,6.713737e+00,1.491354e+01,1.018815e+01,1.193156e+01,2.920307e+00,1.167734e+00,5.634288e+00,9.845995e+00,1.044285e+01,1.280155e+01,1.230772e+01,1.622240e+01,1.618200e+01,1.697900e+01,1.556222e+01,1.232050e+01,8.459021e+00,1.254181e+01,1.697564e+01
9.696136e+00,7.173719e+00,1.218055e+01,1.227781e+01,1.368911e+01,1.367601e+01,1.563430e+01,1.292925e+01,7.743150e+00,9.456009e+00,9.412711e+00,9.976480e+00,7.872030e+00,1.005039e+01,1.426158e+01,1.346034e+01,1.443614e+01,1.205002e+01,9.657103e+00,-3.664400e+01,-5.522961e+01,-6.040158e+01,-6.116361e+01,-5.735808e+01,-5.170246e+01,-5.098511e+01,-4.525148e+01,-3.881741e+01,-3.706643e+01,-2.308548e+01,-9.831173e+00,-6.718751e+00,-6.693746e+00,8.346823e+00,6.728801e+00,-1.050915e+00,8.282553e-01,4.979873e+00,8.999313e+00,1.003109e+01,8.372557e+00,9.817472e+00,1.116001e+01,1.518514e+01,1.128701e+01,9.569176e+00,8.276474e+00,8.856994e+00,1.304156e+01
3.838568e+00,4.159634e+00,9.064966e+00,5.786944e+00,3.033141e+00,5.726295e+00,9.254979e+00,6.963387e+00,2.492299e+00,3.134405e+00,5.492869e+00,3.593336e+00,-1.102499e+00,9.482312e-02,1.946158e+00,5.123467e+00,7.355370e+00,2.738220e+00,-1.549111e+00,1.892287e+01,3.167400e+01,3.264680e+01,3.058012e+01,2.803185e+01,1.760839e+01,2.578212e+01,3.498364e+01,4.162240e+01,3.777016e+01,2.192751e+01,3.096725e+00,-2.143216e+00,6.155163e-01,6.511783e+00,6.792306e+00,3.976693e+00,4.670667e+00,4.597054e+00,5.700093e+00,2.432450e+00,1.982751e+00,7.821347e-01,3.374533e+00,6.364092e+00,2.449203e+00,2.360310e+00,4.695983e+00,2.762078e+00,5.978608e+00
-1.961548e-01,6.363597e+00,9.348896e+00,4.279486e+00,-2.686515e+00,1.108202e-01,3.688922e+00,1.417212e+00,-8.428512e-01,-8.034177e-01,1.453499e+00,-1.632810e-03,-2.554333e+00,-3.202534e+00,-4.792868e+00,-2.019098e-01,3.673959e+00,-1.277092e+00,-5.861497e+00,9.607630e+00,-5.116719e+00,-8.481567e+00,-1.066960e+01,-1.156450e+01,-1.439646e+01,-1.122026e+01,-5.165360e+00,1.192324e+00,-1.296787e+00,-2.291377e+00,-7.001770e+00,-5.585472e+00,-1.052695e+00,1.301044e+00,-2.839488e+00,-2.672294e+00,2.229213e-01,1.689983e+00,2.385800e+00,-1.264657e+00,-1.580607e+00,-2.516839e+00,-1.072817e-01,-9.680520e-01,-2.105329e+00,-2.204198e+00,1.705361e+00,4.719946e-01,1.427234e+00
-3.499527e+00,4.905993e+00,6.504239e+00,3.503062e+00,-3.364414e+00,-2.675612e+00,-9.393225e-01,-3.460521e+00,-4.029531e+00,-4.304778e+00,-3.062390e+00,-2.629436e+00,-1.220758e+00,-1.966511e+00,-3.459957e+00,-1.023868e+00,2.866550e+00,-1.469031e+00,-6.403568e+00,-1.007734e+01,-1.381304e+01,-1.071916e+01,-1.282235e+01,-1.471754e+01,-1.559985e+01,-1.936433e+01,-2.130130e+01,-2.479306e+01,-2.778337e+01,-3.190297e+01,-2.827055e+01,-1.953005e+01,-1.169890e+01,-3.627170e+00,-3.786751e+00,-6.840942e+00,-8.205858e+00,-5.229678e+00,-1.316481e+00,-1.003823e+00,-3.481137e+00,-3.560122e+00,-2.256901e+00,-4.423855e+00,-3.479210e+00,-3.530250e+00,-1.049310e+00,3.681073e-01,-1.129238e+00
-6.809821e+00,-2.027970e+00,1.409059e-01,8.986090e-01,-4.350276e+00,-5.086834e+00,-5.629072e+00,-8.441837e+00,-7.596048e+00,-7.705338e+00,-7.832410e+00,-5.341632e+00,-2.138733e+00,-1.532117e+00,-1.460105e+00,-1.185889e+00,2.543589e-01,-2.843880e+00,-4.259728e+00,9.113670e+00,3.607386e+00,3.725299e-01,-8.937789e-01,-3.448633e+00,-1.578982e+00,3.930532e+00,4.661782e+00,-8.460002e-01,4.435039e+00,1.038493e+01,5.925163e+00,-5.323072e+00,-6.109008e+00,-3.029799e+00,4.738716e+00,1.973853e+00,-5.394628e+00,-7.210213e+00,-5.430908e+00,-2.887144e+00,-5.885508e+00,-6.900829e+00,-6.813085e+00,-6.327515e+00,-5.090732e+00,-3.609869e+00,-4.476820e+00,-1.918523e+00,-3.344554e+00
-7.128868e+00,-5.366047e+00,-2.787071e+00,-1.240438e+00,-5.646516e+00,-5.707718e+00,-7.624774e+00,-1.095041e+01,-9.341504e+00,-7.577439e+00,-8.936010e+00,-6.960223e+00,-4.991391e+00,-3.676815e+00,-3.690033e+00,-2.821407e+00,-3.980820e+00,-4.862530e+00,-7.410182e-01,1.540487e+01,2.006831e+01,1.600381e+01,1.328061e+01,9.494214e+00,7.507478e+00,8.179504e+00,1.214097e+01,9.438366e+00,9.444096e+00,-1.012607e+00,-4.859431e+00,1.079901e+00,4.385549e+00,-1.862885e+00,-1.691175e-01,-2.871178e-01,-5.510183e-01,-4.773161e+00,-9.350945e+00,-7.715828e+00,-7.932146e+00,-9.679680e+00,-9.908476e+00,-7.240567e+00,-5.375756e+00,-2.403676e+00,-5.998603e+00,-5.441273e+00,-4.348103e+00
-2.972748e+00,-1.386039e+00,-1.183748e+00,-2.320477e+00,-4.074984e+00,-3.114536e+00,-5.211627e+00,-8.676619e+00,-8.337290e+00,-3.161358e+00,-3.868750e+00,-6.613278e+00,-6.946471e+00,-5.718279e+00,-6.664731e+00,-4.089322e+00,-5.021351e+00,-3.986246e+00,-8.798908e-01,-6.515962e+00,-1.828310e+01,-2.077829e+01,-2.331555e+01,-2.469838e+01,-1.791005e+01,-2.009304e+01,-1.806495e+01,-1.853840e+01,-1.198406e+01,-7.574299e+00,-5.661654e+00,-1.972666e+00,4.271405e+00,-1.586605e+00,-6.483028e+00,-9.745672e+00,-4.075138e+00,-4.406595e+00,-1.032534e+01,-9.509331e+00,-7.328899e+00,-7.258010e+00,-5.808934e+00,-5.399923e+00,-2.323932e+00,4.497316e-01,-3.408258e+00,-5.341622e+00,-2.561695e+00
