Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52
-5.331518e+02,-5.202421e+02,-5.102304e+02,-5.077961e+02,-5.106074e+02,-5.097329e+02,-5.116863e+02,-5.087246e+02,-3.590792e+02,-2.178294e+02,-1.487185e+02,-1.453828e+02,-1.571619e+02,-1.410321e+02,-1.559319e+02,-1.873523e+02,-2.072860e+02,-2.205340e+02,-2.275221e+02,-2.281470e+02,-2.273858e+02,-2.270226e+02,-2.231923e+02,-2.235941e+02,-2.167665e+02,-2.006356e+02,-1.962962e+02,-1.709036e+02,-1.408666e+02,-1.342829e+02,-1.684844e+02,-1.973006e+02,-2.025145e+02,-1.493752e+02,-1.159346e+02,-1.343392e+02,-1.487526e+02,-1.470899e+02,-1.636094e+02,-1.626099e+02,-1.682050e+02,-2.087775e+02,-2.655449e+02,-3.458629e+02,-4.261470e+02,-4.740445e+02,-4.914946e+02,-4.976462e+02,-4.947781e+02,-4.950742e+02,-4.952877e+02,-5.010831e+02
2.750081e+01,3.916465e+01,4.602978e+01,4.908406e+01,4.924337e+01,4.975446e+01,4.701678e+01,4.728539e+01,6.247190e+01,7.765668e+01,1.107884e+02,1.434142e+02,1.544759e+02,1.453292e+02,1.341503e+02,1.259810e+02,1.293191e+02,1.305193e+02,1.326138e+02,1.406070e+02,1.425705e+02,1.420069e+02,1.413508e+02,1.393333e+02,1.383403e+02,1.303095e+02,1.267714e+02,1.417271e+02,1.620699e+02,1.873156e+02,1.924199e+02,1.888460e+02,1.924313e+02,1.923929e+02,1.737343e+02,1.474358e+02,1.343541e+02,1.292455e+02,1.265176e+02,1.417273e+02,1.542141e+02,1.617975e+02,1.638861e+02,1.498447e+02,1.056570e+02,6.916881e+01,5.778709e+01,5.282515e+01,5.271832e+01,5.395214e+01,5.775156e+01,5.621613e+01
1.951981e+01,2.076269e+01,1.635313e+01,1.712102e+01,2.243707e+01,2.299039e+01,2.268743e+01,1.815683e+01,-4.843285e+01,-7.327415e+01,-7.140657e+01,-7.003695e+01,-7.948836e+01,-9.059554e+01,-7.944519e+01,-6.240713e+01,-5.033085e+01,-4.155131e+01,-4.388104e+01,-4.653341e+01,-4.485427e+01,-5.023852e+01,-5.540569e+01,-5.214464e+01,-5.315947e+01,-5.219507e+01,-5.424142e+01,-8.411641e+01,-9.832303e+01,-9.870860e+01,-9.191972e+01,-9.080764e+01,-9.023435e+01,-1.116745e+02,-1.239075e+02,-1.136645e+02,-9.726806e+01,-9.696425e+01,-8.915123e+01,-9.820267e+01,-1.047945e+02,-9.066501e+01,-6.886563e+01,-3.447520e+01,-6.448050e+00,2.526189e+00,1.270822e+01,1.536217e+01,1.402537e+01,1.340471e+01,1.937508e+01,2.473701e+01
1.489921e+01,1.308510e+01,6.254226e+00,3.852607e+00,7.981637e+00,1.001119e+01,1.199936e+01,7.927937e+00,2.710334e+01,3.364116e+01,2.670638e+01,4.319587e+00,-1.677449e+01,-2.560981e+01,-2.289102e+01,-1.120088e+01,-8.149500e+00,-3.763643e+00,-4.916749e+00,-9.364138e+00,-1.442197e+01,-1.635150e+01,-2.029021e+01,-1.390893e+01,-1.081383e+01,-1.061180e+01,-6.915734e+00,-2.190145e+01,-3.882118e+01,-4.677157e+01,-4.754751e+01,-5.553831e+01,-6.562688e+01,-5.440509e+01,-4.451453e+01,-2.602094e+01,-1.099319e+01,-7.449943e+00,-6.763147e+00,-1.889187e+01,-2.675477e+01,-3.087092e+01,-3.910146e+01,-4.854373e+01,-2.897014e+01,-1.312013e+01,4.320631e-01,5.057485e+00,7.723761e+00,4.903792e+00,7.822512e+00,1.139459e+01
1.494506e+01,1.459159e+01,1.132706e+01,8.478832e+00,8.754562e+00,1.130300e+01,1.178668e+01,9.937738e+00,-6.842059e+00,-2.153575e+01,-3.210330e+01,-2.763008e+01,-1.993749e+01,-2.279198e+01,-2.307544e+01,-1.363966e+01,-4.252304e+00,-2.915651e+00,-5.660213e+00,-1.309225e+00,3.519894e+00,4.764765e+00,-8.498623e-01,-1.345553e+00,-1.830330e+00,-8.910922e+00,-1.264271e+01,-1.319140e+01,-2.221626e+01,-2.700570e+01,-2.131033e+01,-1.340212e+01,-1.925285e+01,-2.180983e+01,-2.271530e+01,-1.459091e+01,-9.843445e+00,-1.549637e+01,-1.542064e+01,-1.078289e+01,-2.236605e+00,9.349168e+00,1.244141e+01,9.442084e+00,2.158565e+00,4.346622e+00,7.853882e+00,7.905368e+00,8.440783e+00,9.505457e+00,1.205289e+01,1.271637e+01
1.457701e+01,1.541097e+01,1.610387e+01,1.451775e+01,1.151775e+01,1.343661e+01,1.450774e+01,1.523815e+01,3.941990e+00,1.506618e+01,1.962858e+01,2.805983e+01,3.410014e+01,3.368757e+01,3.466631e+01,3.650153e+01,3.896014e+01,4.138257e+01,3.759328e+01,3.668159e+01,3.918677e+01,3.700393e+01,3.564680e+01,3.686266e+01,3.786699e+01,4.520893e+01,4.548539e+01,3.576566e+01,2.656776e+01,1.939634e+01,1.796154e+01,1.847935e+01,1.873510e+01,2.147925e+01,2.641436e+01,3.439305e+01,4.685143e+01,5.546308e+01,5.285963e+01,5.007977e+01,4.227323e+01,3.732082e+01,3.149760e+01,2.933524e+01,2.504047e+01,2.320308e+01,2.264855e+01,2.006573e+01,1.795582e+01,1.976454e+01,2.053804e+01,2.013477e+01
1.001452e+01,1.219882e+01,1.619218e+01,1.500122e+01,1.054672e+01,9.426334e+00,1.181573e+01,1.520769e+01,1.053996e+01,-6.866314e+00,-1.930035e+01,-2.581954e+01,-2.177593e+01,-2.091542e+01,-2.067112e+01,-1.876251e+01,-2.102347e+01,-2.268958e+01,-1.748048e+01,-1.675703e+01,-1.549566e+01,-1.402515e+01,-1.580143e+01,-1.171826e+01,-1.206165e+01,-1.861065e+01,-2.254663e+01,-2.100161e+01,-2.123581e+01,-2.418838e+01,-2.687968e+01,-2.914356e+01,-2.783999e+01,-2.058611e+01,-1.561245e+01,-1.066319e+01,-1.405028e+01,-8.966798e+00,-1.145214e+01,-8.541566e+00,-6.236145e+00,2.084824e+00,-7.013626e-01,-3.343464e+00,1.052042e+01,1.595311e+01,1.625556e+01,1.393735e+01,1.355375e+01,1.495876e+01,1.341508e+01,1.479133e+01
3.434729e+00,5.510010e+00,8.544498e+00,9.468147e+00,9.566800e+00,3.059345e+00,1.593803e+00,5.422173e+00,3.687493e+00,1.288622e+01,9.417096e+00,4.104179e+00,1.262207e+01,2.100628e+01,2.226642e+01,1.987931e+01,1.702401e+01,1.427096e+01,1.066695e+01,7.022952e+00,8.547874e+00,1.196815e+01,1.035643e+01,7.453530e+00,8.023147e+00,1.194309e+01,7.324918e+00,9.677389e+00,8.784636e+00,4.827300e+00,8.904259e+00,4.327312e+00,1.737487e+00,7.495976e+00,1.110317e+01,1.518228e+01,1.282126e+01,1.431434e+01,1.384179e+01,9.940481e+00,6.760183e+00,3.633018e+00,9.323548e-01,-4.536167e+00,-6.592538e+00,-9.277129e-02,-2.323460e+00,-1.376051e+00,-6.402528e-01,1.445584e+00,5.044491e-01,2.800497e+00
-8.813181e-01,-5.037434e-01,-2.160060e+00,3.087842e+00,9.137651e+00,1.817382e+00,-1.357603e+00,1.176829e+00,-3.091070e+00,-2.757578e+00,-4.574952e+00,3.260992e+00,1.165294e+01,1.193542e+01,1.756194e+01,1.518034e+01,1.509604e+01,1.563620e+01,1.738937e+01,1.772655e+01,1.678698e+01,1.591249e+01,1.754679e+01,1.787651e+01,1.589033e+01,1.642083e+01,1.307847e+01,2.048766e+01,2.422865e+01,2.571311e+01,2.781676e+01,2.760325e+01,2.945474e+01,2.875859e+01,2.080033e+01,1.616986e+01,1.225827e+01,1.125931e+01,1.007173e+01,5.293516e+00,7.131107e-01,-3.393121e+00,-4.224815e+00,2.778271e+00,4.427979e+00,3.292545e+00,-8.283453e-01,5.132968e+00,5.207968e+00,3.635206e+00,1.251127e+00,1.269046e+00
-2.090813e+00,-3.381253e-01,-1.998554e+00,3.865263e+00,6.009039e+00,4.480400e+00,4.419993e+00,3.806876e+00,5.021493e+00,-6.735536e-01,-7.385236e+00,-8.296712e+00,-6.944437e+00,-9.272982e+00,-6.887599e+00,-5.749778e+00,-2.983395e+00,-3.282190e+00,-2.977392e+00,-9.869490e-01,2.984684e+00,4.980209e+00,1.537344e+00,4.178269e+00,6.436701e+00,6.774233e+00,-7.407354e-01,-2.942515e+00,1.617438e+00,-2.112597e+00,-6.110697e+00,-4.196240e+00,-6.550253e+00,-6.535698e+00,-2.431761e+00,9.799749e-02,-1.235131e+00,-3.826978e+00,-1.353846e+00,-5.457974e+00,-1.237757e+01,-1.243933e+01,-1.637177e+01,-1.314091e+01,-8.239549e-01,-1.359054e-01,-3.110045e-01,5.616201e+00,4.446127e+00,1.670818e+00,-1.004333e+00,-1.400027e+00
