Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22
-4.946164e+02,-4.702552e+02,-3.874068e+02,-3.290390e+02,-3.304131e+02,-2.363241e+02,-1.094610e+02,-7.196380e+01,-9.664231e+01,-1.319846e+02,-1.173346e+02,-8.200473e+01,-6.725993e+01,-7.436205e+01,-1.102394e+02,-1.708534e+02,-2.430007e+02,-3.295755e+02,-3.991292e+02,-4.521771e+02,-4.673318e+02,-4.752581e+02
5.316802e+01,7.578996e+01,1.271171e+02,1.518256e+02,1.549444e+02,1.614010e+02,1.356910e+02,1.108657e+02,8.508214e+01,7.705515e+01,6.385254e+01,6.197247e+01,7.644016e+01,9.631030e+01,1.201058e+02,1.480162e+02,1.679967e+02,1.671711e+02,1.299072e+02,8.527106e+01,7.385589e+01,6.739197e+01
2.111022e+01,2.426949e+01,8.278922e+00,-8.687866e+00,-1.014793e+00,5.891790e+00,-1.148727e+01,-1.569973e+01,-4.402611e+00,1.139519e+01,1.227169e+01,-9.972235e+00,-2.263250e+01,-2.245897e+01,-1.564503e+01,-5.964318e+00,-3.060887e+00,1.203029e+01,1.153854e+01,1.141767e+01,1.333868e+01,1.527882e+01
4.272029e-01,-9.627348e-01,-5.674573e+00,2.223123e+00,6.136289e+00,-1.078443e+01,-2.395819e+01,-2.892305e+01,-3.163808e+01,-4.024927e+01,-3.830163e+01,-4.078965e+01,-5.090276e+01,-5.836369e+01,-5.614391e+01,-4.944333e+01,-4.064148e+01,-2.740841e+01,-2.298489e+01,-1.184280e+01,-9.829451e+00,-4.802633e+00
-2.432247e+00,3.075430e+00,7.643951e+00,6.393378e+00,1.166475e+01,-1.338229e+01,-2.745510e+01,-3.014111e+01,-3.053600e+01,-2.091568e+01,-1.897313e+01,-1.891358e+01,-1.881084e+01,-2.468567e+01,-2.490062e+01,-2.550749e+01,-1.054268e+01,-3.156670e+00,-2.102229e+00,4.196331e+00,5.334888e+00,7.992565e+00
2.634116e+00,8.908386e+00,3.355202e+01,3.075590e+01,3.333736e+01,4.071839e+01,4.499056e+01,4.641555e+01,4.740692e+01,4.424536e+01,4.432923e+01,4.796548e+01,4.748080e+01,4.816621e+01,4.819499e+01,4.979508e+01,3.184074e+01,1.257195e+01,6.790203e+00,8.384418e+00,1.667028e+01,1.742774e+01
9.466990e+00,7.497215e+00,4.670267e+01,5.525118e+01,5.169296e+01,-1.870036e+01,-4.050047e+01,-4.319153e+01,-4.441895e+01,-4.168446e+01,-3.874419e+01,-3.985479e+01,-4.362316e+01,-4.265635e+01,-4.444735e+01,-3.374759e+01,-1.788607e+01,-7.227535e+00,-2.226057e+00,-1.324469e+00,9.615043e+00,1.038380e+01
1.608638e+01,7.680418e+00,7.999271e+00,4.435952e+00,4.206053e+00,-1.270404e+01,-7.051916e+00,2.452282e+00,1.391702e+01,1.673945e+01,2.271710e+01,2.136884e+01,2.013185e+01,1.406891e+01,6.967447e+00,4.434169e+00,-5.106646e+00,-9.108801e+00,-7.312089e+00,-5.481675e-01,3.134421e+00,2.713597e+00
1.740653e+01,8.821712e+00,-1.543945e+01,-1.312544e+01,-1.028510e+01,-2.580223e+00,-8.558465e+00,-9.268030e+00,-4.718126e+00,-4.208004e+00,-5.894145e+00,-1.335484e+00,3.174626e+00,-1.312896e+00,-7.309510e+00,-1.519926e+01,-9.230684e+00,-5.420282e+00,1.920495e+00,8.121306e+00,6.065817e+00,3.254977e+00
1.130665e+01,3.393996e+00,-2.055130e+01,-1.438843e+01,-7.425549e+00,1.240932e+01,2.025017e+01,2.693105e+01,3.360629e+01,3.403555e+01,2.717226e+01,2.853386e+01,3.270050e+01,3.226119e+01,3.420943e+01,2.963475e+01,2.304815e+01,1.501936e+01,8.957180e+00,8.542780e+00,7.408956e+00,4.246152e+00
3.825304e+00,-5.190968e+00,-3.413793e+01,-3.511835e+01,-2.603892e+01,-1.379865e+01,-1.822197e+01,-1.424877e+01,-1.171416e+01,-1.217031e+01,-1.406925e+01,-1.180306e+01,-9.960623e+00,-7.993847e+00,-4.433804e+00,-5.016372e-01,-4.498473e-01,-5.424597e+00,1.558317e+00,1.688403e+00,1.301451e+00,4.078241e-01
3.298570e-01,-8.279048e+00,-1.388364e+01,-4.087168e+00,-8.888149e-02,-6.536020e+00,7.953136e-01,3.453642e+00,2.203852e+00,-6.055406e-01,-2.986647e-01,1.365499e+00,8.762765e-02,5.696461e+00,3.724866e+00,-2.186072e+00,-6.737580e+00,-7.529787e+00,-3.367924e+00,-2.879693e+00,-5.509239e+00,-4.056477e+00
-3.171225e-01,-6.291133e+00,-2.745207e+00,2.530613e+00,2.179746e+00,-1.562812e+01,-2.610616e+01,-3.118837e+01,-3.386526e+01,-3.225121e+01,-2.845564e+01,-3.289144e+01,-3.014267e+01,-2.315662e+01,-2.243916e+01,-1.965378e+01,-1.441142e+01,-5.305441e+00,-1.307761e-01,-4.110868e+00,-7.376843e+00,-5.320196e+00
