Coeff 1
-7.026752e+00
9.307861e+01
-3.238458e+01
-6.014296e+00
1.549428e+01
-5.176122e-01
1.883306e+01
-9.579679e+00
-3.820139e+00
-2.481308e+00
3.557365e+00
8.585602e+00
5.980419e+00
