Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21
-4.887995e+02,-4.798006e+02,-4.814275e+02,-4.793882e+02,-4.778311e+02,-4.608082e+02,-3.608423e+02,-2.203536e+02,-1.460145e+02,-1.069831e+02,-1.000896e+02,-1.246384e+02,-1.196743e+02,-9.405795e+01,-9.373477e+01,-1.169505e+02,-1.616875e+02,-2.343316e+02,-3.210306e+02,-3.781636e+02,-4.261749e+02
1.607845e+01,2.531461e+01,2.404043e+01,2.695718e+01,2.908513e+01,5.065974e+01,7.456527e+01,6.975806e+01,6.509575e+01,5.640905e+01,4.674181e+01,5.360953e+01,5.312781e+01,5.868217e+01,6.985258e+01,8.353952e+01,1.053727e+02,1.254010e+02,1.355578e+02,1.161215e+02,7.422092e+01
1.359324e+01,1.624947e+01,1.672917e+01,1.942295e+01,2.113335e+01,3.789511e+01,4.749749e+01,1.444713e+01,-2.708365e+01,-4.642413e+01,-4.534458e+01,-3.389154e+01,-3.763609e+01,-5.851191e+01,-6.690286e+01,-5.952081e+01,-3.649796e+01,-8.128895e+00,1.513383e+01,1.991575e+01,1.927187e+01
1.166616e+01,1.133039e+01,1.222804e+01,1.409618e+01,1.484494e+01,2.863661e+01,1.042312e+01,9.280296e+00,9.277721e+00,9.093391e+00,3.060029e+00,-2.606194e+00,1.286801e+00,-7.776532e-01,-1.028908e+01,-2.071915e+01,-2.217107e+01,-2.102239e+01,-1.253981e+01,-8.715899e+00,-7.669147e-01
1.066132e+01,1.223144e+01,1.233847e+01,1.312434e+01,1.274351e+01,2.523679e+01,2.561166e+01,-1.106413e+00,-1.749978e+01,-2.375097e+01,-2.503749e+01,-1.990136e+01,-2.699228e+01,-2.722585e+01,-1.914807e+01,-2.047015e+01,-1.663234e+01,-5.252728e+00,9.043474e+00,1.432838e+01,1.017805e+01
9.413804e+00,1.321093e+01,1.325827e+01,1.324907e+01,1.234442e+01,2.167903e+01,1.236888e+01,4.209580e+00,1.417806e+01,2.406316e+01,3.477322e+01,3.852679e+01,4.161510e+01,4.157276e+01,4.396585e+01,4.340054e+01,3.495324e+01,2.862924e+01,1.957238e+01,1.686032e+01,1.255471e+01
7.209246e+00,9.982866e+00,1.135084e+01,1.079406e+01,1.021500e+01,1.359777e+01,3.739384e+00,-1.617442e+01,-2.008373e+01,-1.764811e+01,-2.214596e+01,-2.508865e+01,-2.786227e+01,-2.758285e+01,-3.093283e+01,-3.496837e+01,-3.145349e+01,-2.506979e+01,-1.283662e+01,-2.262240e+00,7.496239e-01
4.787899e+00,4.939912e+00,7.295476e+00,6.211536e+00,6.019483e+00,4.026269e+00,2.068626e+01,3.344805e+01,2.800674e+01,2.536049e+01,2.282286e+01,2.398001e+01,1.467207e+01,1.684784e+01,1.493942e+01,1.223180e+01,4.062576e+00,-2.462912e+00,-1.214951e+00,-2.197913e+00,-2.831606e+00
3.043834e+00,2.250182e+00,3.951746e+00,2.744626e+00,1.998756e+00,-2.130680e+00,-2.219316e+01,-1.350220e+01,-5.140254e+00,8.424539e+00,1.847441e+01,1.701306e+01,1.419601e+01,1.476007e+01,1.299478e+01,1.194456e+01,1.488724e+01,1.666238e+01,1.316814e+01,1.236358e+01,3.530755e+00
1.593598e+00,1.350851e+00,2.279476e+00,1.853758e+00,-2.479177e-01,-5.158017e+00,3.960776e+00,-1.370997e+01,-1.091770e+01,1.326501e-02,6.943505e+00,5.992477e+00,1.540284e+01,2.137403e+01,2.479351e+01,1.680329e+01,1.465266e+01,1.290198e+01,1.542155e+01,1.144981e+01,3.199753e+00
-5.102867e-01,-1.358508e+00,1.024925e+00,1.729061e+00,-1.134069e+00,-8.699331e+00,-9.117142e-01,6.022443e+00,-3.969148e+00,-1.771472e+01,-2.583949e+01,-3.217181e+01,-2.794525e+01,-2.160988e+01,-1.698500e+01,-1.510978e+01,-1.447511e+01,-1.414155e+01,-6.351891e+00,-5.902365e-03,-4.226167e+00
-3.006956e+00,-5.970736e+00,-5.930678e-01,2.802316e-01,-1.696126e+00,-1.314164e+01,-6.899441e+00,2.028023e+00,6.385791e+00,4.184335e+00,-3.295363e+00,-7.744445e+00,-1.061754e+01,-2.158281e+00,5.548969e+00,8.937127e+00,4.648489e+00,3.378265e+00,4.801508e-01,-1.648119e+00,-5.853538e+00
-4.395071e+00,-8.230913e+00,-1.772553e+00,-2.023943e+00,-2.253435e+00,-1.501510e+01,-3.217763e+01,-3.891946e+01,-3.758472e+01,-3.708320e+01,-3.963525e+01,-3.568839e+01,-2.980255e+01,-2.905121e+01,-2.554610e+01,-2.093176e+01,-1.722125e+01,-1.191205e+01,-4.328293e+00,8.109700e-01,-1.329690e+00
