Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23
-5.164244e+02,-4.969937e+02,-4.734556e+02,-3.298908e+02,-2.088324e+02,-1.378175e+02,-1.170845e+02,-1.284822e+02,-1.297888e+02,-1.314731e+02,-1.275108e+02,-1.355252e+02,-1.645568e+02,-2.144890e+02,-2.977342e+02,-3.878784e+02,-4.571483e+02,-4.913059e+02,-4.950173e+02,-4.994353e+02,-5.007553e+02,-4.963315e+02,-5.021465e+02
3.909107e+01,5.366202e+01,6.474164e+01,8.567606e+01,9.466360e+01,9.413589e+01,8.762091e+01,7.756525e+01,7.849596e+01,8.373510e+01,9.032813e+01,1.063481e+02,1.179201e+02,1.298949e+02,1.338543e+02,1.223617e+02,7.861203e+01,5.578579e+01,5.524705e+01,5.234075e+01,5.077180e+01,5.724464e+01,5.198227e+01
2.331498e+01,1.992978e+01,1.092798e+00,-8.119135e+01,-1.050209e+02,-1.137180e+02,-1.070370e+02,-9.794742e+01,-9.395024e+01,-9.223584e+01,-1.017380e+02,-1.091979e+02,-1.022274e+02,-8.662275e+01,-6.390456e+01,-3.190767e+01,-5.534897e+00,1.006195e+01,1.766383e+01,2.114681e+01,1.852723e+01,2.432104e+01,2.341879e+01
1.483366e+01,1.193155e+01,9.483023e-01,-2.577435e+01,-2.427690e+01,-1.655342e+01,-2.979430e+00,1.400566e+01,2.015406e+01,2.396356e+01,1.972340e+01,4.557955e+00,-2.179378e+00,-1.231909e+01,-3.834776e+01,-4.584426e+01,-1.891157e+01,-1.353478e+00,7.419470e+00,1.240567e+01,7.591787e+00,1.096139e+01,1.064182e+01
1.444395e+01,1.890096e+01,3.255994e+01,1.356968e+01,-1.807187e+01,-2.723692e+01,-2.391058e+01,-1.976357e+01,-1.850660e+01,-1.786759e+01,-2.320008e+01,-2.355222e+01,-1.771984e+01,-1.260786e+01,-8.978281e-01,1.607007e+01,2.031798e+01,1.609861e+01,1.765362e+01,1.688798e+01,1.395019e+01,1.531873e+01,1.442692e+01
1.537883e+01,1.807516e+01,3.053803e+01,6.185308e+01,6.363522e+01,6.525806e+01,6.980841e+01,6.994215e+01,7.182536e+01,7.346507e+01,7.327968e+01,6.462837e+01,5.985809e+01,4.754219e+01,3.384827e+01,3.465228e+01,3.653047e+01,2.360692e+01,1.910894e+01,1.407755e+01,1.689499e+01,1.764486e+01,1.823974e+01
1.379544e+01,1.163313e+01,5.373024e+00,4.038067e+00,-1.277445e+01,-2.458394e+01,-2.742869e+01,-2.696014e+01,-2.707823e+01,-2.447971e+01,-1.201337e+01,-3.498580e+00,-7.550749e+00,-7.382153e+00,-6.344367e+00,7.277690e+00,1.831169e+01,1.317442e+01,1.122293e+01,1.048771e+01,1.508241e+01,1.413735e+01,1.552654e+01
9.156061e+00,6.985597e+00,-1.093446e+00,-6.918238e+00,-2.804574e+00,8.286576e-01,2.322554e-01,-4.076429e+00,-4.041969e+00,-2.203773e+00,-4.620668e+00,-3.594233e+00,-4.985218e+00,-8.607584e+00,-8.942762e+00,-5.645207e+00,3.511893e+00,5.224315e+00,9.239779e+00,1.457623e+01,1.498003e+01,1.099926e+01,1.073575e+01
3.455683e+00,3.139251e+00,9.091331e+00,2.896016e+01,2.570933e+01,1.605051e+01,6.384461e+00,-5.113755e-01,9.005104e-01,6.518417e+00,5.690157e+00,5.864968e+00,3.197683e+00,7.465173e+00,1.244575e+01,1.102038e+01,6.021743e+00,5.796666e+00,9.882730e+00,1.411060e+01,1.185818e+01,7.141087e+00,6.471150e+00
-8.790655e-01,-7.518952e-01,8.117824e+00,4.326014e+00,1.477478e+01,1.959936e+01,1.897997e+01,1.436908e+01,1.248831e+01,1.438757e+01,1.553164e+01,1.748208e+01,1.040028e+01,6.224965e+00,1.622005e+01,2.209744e+01,8.719645e+00,3.148739e+00,2.480633e+00,1.640980e+00,1.766086e+00,-5.919611e-01,8.555161e-01
-3.964307e+00,-4.059771e+00,-7.328257e+00,-1.798055e+01,-1.647925e+01,-2.003594e+01,-2.629649e+01,-2.590075e+01,-2.120080e+01,-1.576224e+01,-1.561137e+01,-1.584076e+01,-8.379174e+00,8.876675e-01,3.201226e+00,2.544765e+00,-1.676159e-01,-4.788313e+00,-7.015223e+00,-9.819809e+00,-7.533386e+00,-7.550006e+00,-6.178819e+00
-5.040400e+00,-4.772116e+00,-1.481507e+01,-2.010184e+01,-9.619972e+00,-7.845667e+00,-1.077282e+01,-1.412984e+01,-1.515389e+01,-1.916069e+01,-2.070186e+01,-2.310170e+01,-3.395869e+01,-3.469488e+01,-2.682547e+01,-1.944146e+01,-1.082811e+01,-7.910477e+00,-7.426384e+00,-9.379061e+00,-8.424784e+00,-7.125501e+00,-9.605388e+00
-1.961575e+00,-1.870354e+00,-5.380621e+00,1.708033e+01,2.425910e+01,2.186072e+01,1.717791e+01,1.391234e+01,1.297385e+01,1.134336e+01,1.379683e+01,1.660576e+01,1.736041e+01,1.064200e+01,3.591602e+00,-1.183690e+01,-1.007915e+01,-4.343561e+00,-2.166084e+00,-2.640152e+00,-3.563219e+00,-1.675707e+00,-5.866314e+00
