Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20
-4.727590e+02,-4.520341e+02,-3.729002e+02,-2.635403e+02,-1.979497e+02,-1.670177e+02,-1.426724e+02,-1.034989e+02,-7.734924e+01,-5.871388e+01,-3.422034e+01,-3.057077e+01,-4.935314e+01,-1.020978e+02,-1.886481e+02,-2.696342e+02,-3.236596e+02,-3.818139e+02,-4.289939e+02,-4.547360e+02
7.781851e+01,9.021767e+01,3.369565e+01,-2.359788e+01,-5.189291e+01,-5.936588e+01,-4.033561e+01,5.057742e+00,4.073180e+01,6.155775e+01,6.968130e+01,8.459351e+01,1.185637e+02,1.617090e+02,1.988783e+02,2.081557e+02,1.878473e+02,1.396980e+02,1.024139e+02,8.603693e+01
2.363796e+01,1.198275e+01,2.890955e+01,4.802403e+01,5.306456e+01,4.740392e+01,5.435150e+01,4.126968e+01,-2.124388e+00,-4.004599e+01,-5.802129e+01,-6.644382e+01,-6.567389e+01,-5.463707e+01,-2.682121e+01,-6.893230e+00,-1.076264e+00,-6.771971e+00,-2.063519e-02,8.919840e+00
-9.138290e-01,-1.218053e+01,-1.669753e+01,4.220353e-01,1.260061e+01,1.531979e+01,3.104421e+01,3.970517e+01,4.805392e+01,2.912805e+01,7.707635e+00,-1.033221e+01,-2.054206e+01,-3.284656e+01,-4.093426e+01,-3.555666e+01,-4.061452e+01,-3.856630e+01,-2.271927e+01,-1.398190e+01
6.539333e+00,7.433293e+00,-2.801214e+00,-2.425415e+01,-3.652160e+01,-3.658834e+01,-3.429505e+01,-2.704809e+01,-3.796503e+01,-4.316524e+01,-4.390295e+01,-4.648471e+01,-4.258513e+01,-2.756439e+01,-1.352272e+01,-7.747830e+00,-2.376121e+00,1.288057e+00,4.304143e+00,5.298635e+00
1.256571e+01,1.573456e+01,3.303567e+01,3.604314e+01,3.122010e+01,3.135334e+01,2.308127e+01,1.991756e+01,1.872406e+01,2.781623e+01,3.364990e+01,3.773547e+01,4.353945e+01,4.322026e+01,3.811227e+01,2.422409e+01,2.173394e+01,2.712313e+01,2.113563e+01,1.653286e+01
6.254751e+00,6.806625e+00,-5.360971e+00,-5.786011e-01,7.019720e+00,1.130339e+01,5.164149e+00,1.059802e+01,6.856132e+00,-1.858906e+01,-2.742137e+01,-3.320249e+01,-3.279726e+01,-2.416147e+01,-1.213042e+01,3.462951e+00,1.096743e+01,1.859011e+01,1.628343e+01,1.009201e+01
2.360574e+00,5.198268e+00,5.409992e+00,8.170782e-02,1.979434e+00,5.583416e+00,-7.407390e+00,-1.715123e+01,-9.007948e+00,1.248600e+01,1.688098e+01,1.448336e+01,1.221902e+01,7.356086e+00,-2.473218e+00,-8.455745e+00,-6.230448e+00,1.366350e-01,2.662044e+00,3.821355e+00
4.666332e+00,9.394241e+00,2.709334e-01,2.984929e+00,2.273775e+00,-3.315525e+00,-2.237926e+01,-3.070036e+01,-1.646959e+01,-4.171539e+00,1.444113e+00,7.590703e+00,1.309138e+01,1.791793e+01,1.908424e+01,1.037705e+01,4.289974e+00,6.503724e+00,6.834534e-01,4.982912e+00
2.783804e+00,3.718925e+00,1.335251e+01,2.018294e+01,2.111144e+01,1.747032e+01,-1.780651e+00,-7.506421e+00,-5.814853e+00,4.774078e+00,-3.932936e-01,-2.410231e+00,-1.232777e+00,1.755058e+00,3.604631e+00,9.181810e+00,1.230642e+01,1.766925e+01,5.575994e+00,4.266427e+00
-4.178024e+00,-6.008202e+00,-5.765673e+00,-9.663607e+00,-6.766528e+00,-7.454446e+00,-2.266458e+01,-2.915559e+01,-2.546364e+01,-2.465256e+01,-2.615416e+01,-2.272935e+01,-2.148917e+01,-1.823904e+01,-1.048261e+01,-7.691835e-01,3.712953e+00,6.621233e+00,2.556960e-01,-2.307728e+00
-8.110340e+00,-6.348663e+00,-1.012798e+01,-9.427468e+00,-7.767310e+00,-6.237613e+00,-1.206409e+01,-1.229243e+01,-1.356925e+01,-4.489583e+00,3.264897e+00,2.284564e+00,-6.789768e+00,-9.608850e+00,-9.194214e+00,-6.968134e+00,-5.885292e-01,-2.710501e+00,-6.315218e+00,-7.041161e+00
-8.219280e+00,-2.859774e+00,9.471731e+00,1.499560e+01,1.179790e+01,8.529478e+00,6.958740e-01,1.606683e-01,-3.784650e+00,-2.077542e+01,-2.402167e+01,-1.586163e+01,-4.761548e+00,1.907127e+00,-3.741101e+00,-8.964982e+00,-1.035136e+01,-8.286665e+00,-7.422495e+00,-7.275642e+00
