Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51,Coeff 52,Coeff 53,Coeff 54,Coeff 55
-4.914400e+02,-4.798695e+02,-4.782188e+02,-4.741690e+02,-4.720901e+02,-4.743626e+02,-4.767714e+02,-4.790785e+02,-4.818768e+02,-4.780850e+02,-4.768658e+02,-4.757152e+02,-4.764078e+02,-2.805329e+02,-1.437125e+02,-9.401904e+01,-8.833595e+01,-9.233821e+01,-1.167901e+02,-1.325754e+02,-1.169054e+02,-1.090374e+02,-1.064063e+02,-1.057086e+02,-1.123549e+02,-1.050303e+02,-9.875063e+01,-8.266473e+01,-8.590746e+01,-9.125636e+01,-8.024776e+01,-8.133275e+01,-9.066068e+01,-7.740895e+01,-8.287087e+01,-9.145270e+01,-8.880795e+01,-6.826239e+01,-5.404351e+01,-4.289096e+01,-3.919511e+01,-4.883669e+01,-8.385537e+01,-1.647777e+02,-2.564897e+02,-3.300552e+02,-4.013836e+02,-4.600264e+02,-4.815062e+02,-4.817704e+02,-4.783985e+02,-4.760494e+02,-4.773566e+02,-4.784348e+02,-4.813663e+02
1.713816e+01,2.883971e+01,3.012677e+01,3.478735e+01,3.785136e+01,3.547289e+01,3.329419e+01,3.107462e+01,2.767031e+01,3.156450e+01,3.311462e+01,3.519676e+01,3.310690e+01,6.577428e+01,6.490109e+01,5.607104e+01,5.043067e+01,5.061010e+01,5.122722e+01,5.217140e+01,5.102339e+01,4.974396e+01,5.640829e+01,6.558789e+01,6.559999e+01,6.357090e+01,6.256390e+01,5.905420e+01,5.216238e+01,4.605586e+01,4.874220e+01,4.572997e+01,4.746799e+01,4.607623e+01,4.208452e+01,4.004915e+01,3.746603e+01,3.157110e+01,2.518270e+01,2.769589e+01,3.779311e+01,4.409029e+01,5.453944e+01,7.910410e+01,1.134473e+02,1.141621e+02,8.727017e+01,4.169356e+01,2.529667e+01,2.668949e+01,3.104718e+01,3.434554e+01,3.257202e+01,2.979371e+01,2.682833e+01
1.185050e+01,1.397749e+01,1.381460e+01,1.664458e+01,1.907242e+01,1.810851e+01,1.816703e+01,1.833853e+01,1.694178e+01,1.761616e+01,1.826946e+01,2.160305e+01,1.874740e+01,1.650766e+00,-5.403894e+00,-9.617352e+00,-1.771880e+01,-8.157157e+00,1.092627e+00,3.168049e+00,-1.003328e+00,-7.958639e+00,-1.303373e+01,-1.320166e+01,-5.174962e+00,-1.267488e+01,-1.977170e+01,-3.102365e+01,-3.763041e+01,-3.978673e+01,-4.167120e+01,-4.642891e+01,-4.658346e+01,-4.868981e+01,-4.204198e+01,-3.784718e+01,-4.087142e+01,-4.756242e+01,-6.056986e+01,-6.417247e+01,-6.568162e+01,-7.384110e+01,-7.338681e+01,-5.436654e+01,-3.082837e+01,-1.690438e+01,-1.260003e+01,4.385133e-01,9.392281e+00,1.364540e+01,1.672247e+01,1.956276e+01,1.797675e+01,1.316804e+01,1.235223e+01
7.403480e+00,3.259385e+00,3.682760e+00,5.252325e+00,6.322438e+00,5.743116e+00,6.291008e+00,8.266513e+00,1.024643e+01,8.488771e+00,7.379071e+00,1.214130e+01,1.074909e+01,-2.077180e+01,-2.177992e+01,-2.482702e+01,-4.304233e+01,-5.059738e+01,-4.446077e+01,-3.664402e+01,-4.234312e+01,-5.036144e+01,-6.464449e+01,-7.033308e+01,-6.611221e+01,-6.703409e+01,-6.567406e+01,-6.368812e+01,-6.421326e+01,-6.547884e+01,-6.209625e+01,-5.745760e+01,-5.523298e+01,-5.579373e+01,-5.207779e+01,-4.922743e+01,-4.446384e+01,-4.090675e+01,-4.542178e+01,-4.532072e+01,-4.470968e+01,-4.773624e+01,-4.685339e+01,-3.698817e+01,-4.933441e+01,-5.078102e+01,-4.325351e+01,-1.645746e+01,1.634982e+00,6.103026e+00,7.228590e+00,8.681991e+00,7.450287e+00,2.489381e+00,2.608675e+00
6.256797e+00,2.410235e+00,5.033369e+00,6.093847e+00,6.571438e+00,5.644981e+00,4.056571e+00,5.419276e+00,1.016729e+01,8.548690e+00,6.030877e+00,1.112689e+01,1.138097e+01,-2.317723e+01,-3.080954e+01,-2.771041e+01,-1.976673e+01,-1.569019e+01,-8.208859e+00,-3.577831e+00,-1.440750e+00,-5.308423e+00,-1.130836e+01,-1.105802e+01,1.334466e+00,2.386595e+00,-1.696008e+00,-2.551843e+00,-3.296934e+00,-2.278771e+00,-6.880320e-01,-4.369974e-02,-3.176957e+00,-2.716936e+00,3.410511e-01,-1.218202e-01,-2.290376e+00,-7.133060e+00,-9.147879e+00,-1.202493e+01,-1.434572e+01,-1.208978e+01,-1.219570e+01,-5.988869e+00,-3.388004e+00,-3.596521e+00,-5.745581e+00,1.002059e-01,6.643368e+00,8.707657e+00,8.038557e+00,7.604335e+00,7.203909e+00,4.112318e+00,3.685030e+00
7.839739e+00,7.103987e+00,1.101839e+01,1.225690e+01,1.296158e+01,1.257320e+01,8.548797e+00,7.164038e+00,1.144525e+01,1.219329e+01,1.009965e+01,1.342219e+01,1.403396e+01,-1.588708e+01,-9.170436e+00,8.196480e+00,2.742226e+01,3.580926e+01,3.488522e+01,3.385129e+01,4.079414e+01,4.545430e+01,4.307925e+01,4.091861e+01,4.342459e+01,4.478835e+01,4.526029e+01,4.596824e+01,4.487295e+01,4.641824e+01,4.935178e+01,4.995433e+01,4.880917e+01,5.325648e+01,5.640580e+01,5.630894e+01,5.547653e+01,5.749318e+01,5.651850e+01,5.920647e+01,6.088371e+01,6.065559e+01,6.035165e+01,5.387560e+01,3.646916e+01,2.802049e+01,2.410920e+01,2.237947e+01,1.485697e+01,1.482707e+01,1.351944e+01,1.188977e+01,1.302599e+01,1.222757e+01,1.089300e+01
9.582462e+00,9.859383e+00,1.277483e+01,1.343292e+01,1.499724e+01,1.621574e+01,1.251810e+01,8.958963e+00,9.529063e+00,1.277416e+01,1.255456e+01,1.261172e+01,1.158673e+01,-3.184443e-01,-1.257890e+01,-2.203617e+01,-1.965687e+01,-2.107968e+01,-1.307197e+01,-9.403896e+00,-1.491161e+01,-2.486229e+01,-2.678031e+01,-2.777051e+01,-2.635711e+01,-2.371827e+01,-2.283451e+01,-1.948129e+01,-1.748079e+01,-1.944617e+01,-2.192480e+01,-2.365873e+01,-2.411083e+01,-2.275773e+01,-1.819536e+01,-1.837849e+01,-2.110501e+01,-2.405820e+01,-2.317148e+01,-2.442869e+01,-2.382692e+01,-2.742070e+01,-2.995724e+01,-2.473458e+01,-1.726834e+01,-6.771027e-01,1.977692e+01,2.567654e+01,1.544775e+01,1.524700e+01,1.468047e+01,1.321339e+01,1.609856e+01,1.720202e+01,1.525202e+01
9.209044e+00,7.921221e+00,8.645617e+00,8.048806e+00,1.002242e+01,1.202911e+01,1.153487e+01,8.749488e+00,5.831133e+00,9.545994e+00,1.057069e+01,8.131519e+00,4.686306e+00,8.321596e+00,3.046818e+01,4.335747e+01,4.252224e+01,3.014462e+01,2.618541e+01,2.881876e+01,2.641486e+01,2.700568e+01,2.995276e+01,2.815049e+01,2.940566e+01,3.356063e+01,3.152658e+01,3.079978e+01,2.756682e+01,2.654279e+01,2.912687e+01,3.297881e+01,3.140496e+01,3.249102e+01,3.473735e+01,3.516211e+01,3.227627e+01,3.084752e+01,3.238829e+01,3.602204e+01,3.999111e+01,3.863198e+01,3.636829e+01,3.050841e+01,2.032589e+01,6.239518e+00,4.553673e+00,1.165228e+01,7.347459e+00,8.290135e+00,8.993933e+00,8.383822e+00,1.195471e+01,1.434572e+01,1.236140e+01
6.240014e+00,3.801849e+00,3.424498e+00,2.815094e+00,3.213807e+00,3.906581e+00,6.399139e+00,6.420285e+00,3.542060e+00,5.219701e+00,5.692092e+00,3.455496e+00,7.807612e-01,-1.603440e+01,-1.450571e+01,-7.254478e+00,-8.366345e-01,1.544211e+00,-3.681071e-01,-2.320406e+00,-6.917288e+00,-8.799477e+00,-1.017576e+01,-1.223676e+01,-1.367191e+01,-1.144093e+01,-1.386658e+01,-1.334438e+01,-1.051081e+01,-1.148028e+01,-1.038861e+01,-6.817322e+00,-8.788445e+00,-7.034125e+00,-1.068438e+01,-1.401213e+01,-1.695267e+01,-1.968469e+01,-2.336657e+01,-2.158473e+01,-2.226445e+01,-2.375894e+01,-2.608804e+01,-2.955466e+01,-2.212714e+01,-1.820528e+01,-5.238784e+00,-4.513371e+00,-2.277428e+00,2.303838e-01,1.528950e+00,1.216787e+00,3.359689e+00,5.582824e+00,4.791018e+00
2.034009e+00,5.727555e-01,1.154847e+00,6.725204e-01,-7.119570e-01,-1.996823e+00,6.308081e-01,2.240136e+00,2.219591e+00,1.001202e+00,3.299304e-01,4.852911e-01,1.352804e+00,2.238786e+00,8.931304e-01,3.185394e+00,1.259340e+00,2.676481e+00,8.078923e+00,1.024439e+01,8.018078e+00,8.199924e+00,3.402229e+00,4.515044e+00,7.435253e+00,1.169106e+01,1.266929e+01,1.592741e+01,1.552927e+01,1.204811e+01,1.152539e+01,1.116442e+01,7.609648e+00,1.049891e+01,9.552990e+00,4.143980e+00,2.255781e+00,-1.426660e+00,-2.313706e+00,-1.731942e+00,-1.970836e+00,-3.449855e+00,-1.125123e+01,-2.646777e+01,-2.609386e+01,-1.942676e+01,-1.085677e+01,-1.229399e+01,-6.352827e+00,-2.648728e+00,-1.989959e+00,-2.974824e+00,-3.905028e+00,-3.534509e+00,-1.868249e+00
