Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20
-3.795644e+02,-3.457589e+02,-3.640572e+02,-3.833539e+02,-2.693084e+02,-1.737421e+02,-1.226927e+02,-6.958244e+01,-3.778506e+01,-5.207361e+01,-5.714670e+01,-7.389684e+01,-1.495171e+02,-2.439407e+02,-3.049572e+02,-3.614231e+02,-4.086482e+02,-4.297236e+02,-4.263676e+02,-4.410484e+02
1.191448e+02,1.263102e+02,1.276746e+02,1.295518e+02,1.764439e+02,1.875582e+02,1.796292e+02,1.457514e+02,1.198376e+02,1.072319e+02,1.171805e+02,1.456294e+02,1.728532e+02,1.799634e+02,1.677146e+02,1.464086e+02,1.247086e+02,1.116947e+02,1.135346e+02,1.064801e+02
-1.242010e+01,-1.543685e+01,-1.111768e+01,-4.038454e+00,-2.032905e+01,-3.583487e+01,-5.483188e+01,-4.636855e+01,-2.744878e+01,-1.228864e+01,-1.809536e+01,-1.733841e+01,-1.088564e+01,-7.046029e+00,-1.115611e+01,-6.856282e+00,9.968332e+00,1.266548e+01,1.229574e+01,1.500899e+01
2.033342e+01,2.312272e+01,1.453498e+01,5.044474e+00,2.241785e+01,4.124077e+01,5.415763e+01,3.741086e+01,1.503070e+01,2.289044e+00,-2.720840e+01,-4.786481e+01,-4.072694e+01,-1.203148e+01,-8.583698e+00,-7.129434e+00,4.779272e+00,2.816512e+00,3.658728e+00,4.902405e+00
2.417790e+01,1.926947e+01,1.650756e+01,1.271176e+01,3.710325e+00,-5.082151e+00,-1.540088e+01,-3.309773e+01,-4.208810e+01,-3.887774e+01,-2.831066e+01,-2.885342e+01,-1.857039e+01,-1.220960e+01,-6.530546e+00,6.799685e+00,1.958049e+01,1.649658e+01,1.772493e+01,1.988495e+01
1.654884e+01,1.299168e+01,1.490867e+01,7.185083e+00,-5.621091e+00,-1.519101e+01,-1.416052e+01,-8.937581e+00,2.414870e+00,2.268676e+01,4.805462e+01,4.800401e+01,3.782766e+01,2.276376e+01,9.797216e+00,9.822914e+00,1.505215e+01,1.694655e+01,1.453057e+01,1.536211e+01
1.715716e+01,1.709175e+01,2.001037e+01,1.163539e+01,1.277875e+01,1.034491e+01,5.164947e+00,-1.196394e+01,-3.298791e+01,-3.890699e+01,-3.581916e+01,-3.255630e+01,-2.262679e+01,-8.108536e+00,8.331963e-01,5.763348e+00,1.282803e+01,1.798890e+01,1.314296e+01,8.164854e+00
-1.193785e+00,-2.780868e+00,-2.911050e+00,-6.333263e+00,9.507317e+00,1.852497e+01,1.377357e+01,1.779261e+01,3.350629e+01,4.067126e+01,2.242358e+01,8.988779e+00,2.756228e+00,-1.859816e+00,-5.748991e+00,-3.853042e+00,4.691756e-01,6.867589e+00,3.657200e+00,3.114627e+00
6.612554e+00,1.009124e+01,8.611450e+00,3.282565e-01,2.349240e+00,-5.381601e+00,-1.059801e+01,-8.853111e+00,1.434192e+00,8.537081e+00,4.009116e+00,1.894854e+00,4.092594e+00,4.647348e+00,3.035170e+00,4.960713e+00,5.245330e+00,4.443480e+00,2.255845e+00,1.951677e+00
1.901390e+00,3.269080e+00,4.520641e+00,8.180713e+00,6.556801e+00,1.882012e+01,2.644377e+01,3.163658e+01,2.922872e+01,2.593291e+01,2.852645e+01,2.691909e+01,2.551983e+01,1.388542e+01,7.733405e+00,7.212795e+00,8.386594e+00,5.176419e+00,2.325026e+00,1.428366e+00
-8.931595e+00,-6.808982e+00,-5.882635e+00,2.544540e+00,2.610994e+01,3.421569e+01,3.543896e+01,2.122805e+01,8.897179e+00,-1.074305e+00,-1.410272e+00,6.127606e+00,1.197749e+01,8.366726e+00,8.399715e+00,-6.460914e-02,-2.676587e+00,-2.525078e+00,-2.081062e+00,-3.833586e+00
1.875777e+00,2.157698e+00,8.700007e-01,2.473989e+00,5.229632e+00,1.486355e+00,3.265608e+00,1.121255e+01,1.056691e+01,8.088152e+00,-5.374894e+00,-1.247414e+01,-1.501081e+01,-7.541429e+00,-1.882610e+00,-5.715474e+00,-6.592499e+00,-8.209785e+00,-5.008269e+00,-9.510830e+00
7.803432e-01,2.259214e+00,-1.436044e-01,-2.533798e-01,1.349827e+00,2.767411e-01,-1.553459e+00,-1.679884e+01,-3.024401e+01,-2.284383e+01,-1.728218e+01,-1.596617e+01,-9.703505e+00,-7.712477e+00,-1.493580e+00,-2.872269e-01,-2.783458e+00,-6.629522e+00,-8.680857e+00,-9.139700e+00
