Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50,Coeff 51
-4.921722e+02,-4.832686e+02,-4.823557e+02,-4.826153e+02,-4.832919e+02,-4.831636e+02,-4.827065e+02,-4.810013e+02,-4.816380e+02,-4.205461e+02,-3.231699e+02,-2.902828e+02,-3.052025e+02,-2.929440e+02,-2.905409e+02,-2.773215e+02,-2.539646e+02,-2.391289e+02,-2.383331e+02,-2.402368e+02,-2.420023e+02,-2.305289e+02,-2.196062e+02,-2.128661e+02,-2.138262e+02,-2.204743e+02,-2.097901e+02,-1.950259e+02,-1.890809e+02,-1.838847e+02,-1.777521e+02,-1.812065e+02,-1.739990e+02,-1.643102e+02,-1.623493e+02,-1.556015e+02,-1.574507e+02,-1.490901e+02,-1.521885e+02,-1.833513e+02,-2.297181e+02,-2.940828e+02,-3.642003e+02,-4.280951e+02,-4.711574e+02,-4.804828e+02,-4.843324e+02,-4.851480e+02,-4.870056e+02,-4.863969e+02,-4.840558e+02
1.703525e+01,2.661527e+01,2.678242e+01,2.751118e+01,2.682029e+01,2.530827e+01,2.714011e+01,2.941535e+01,2.869209e+01,5.704518e+01,8.595354e+01,1.123328e+02,1.235907e+02,1.287128e+02,1.359955e+02,1.474383e+02,1.518714e+02,1.512807e+02,1.554266e+02,1.570287e+02,1.537478e+02,1.516902e+02,1.437908e+02,1.411917e+02,1.365798e+02,1.416523e+02,1.510878e+02,1.493304e+02,1.498125e+02,1.548878e+02,1.505318e+02,1.374527e+02,1.336585e+02,1.355838e+02,1.329820e+02,1.278848e+02,1.231924e+02,1.244270e+02,1.336700e+02,1.431318e+02,1.500134e+02,1.443280e+02,1.192746e+02,7.145605e+01,3.487089e+01,2.782781e+01,2.427360e+01,2.342615e+01,2.100298e+01,2.142839e+01,2.454674e+01
1.388889e+01,1.775199e+01,1.557081e+01,1.832013e+01,1.817627e+01,1.425681e+01,1.838833e+01,2.005968e+01,2.004034e+01,-1.536948e+01,-3.671731e+01,-4.627348e+01,-4.695300e+01,-4.641715e+01,-2.846943e+01,-2.380605e+01,-3.118361e+01,-3.646278e+01,-3.571249e+01,-3.690045e+01,-4.234082e+01,-4.404956e+01,-4.662647e+01,-5.201116e+01,-5.245569e+01,-5.095504e+01,-5.349493e+01,-5.867213e+01,-6.329786e+01,-6.533809e+01,-7.083224e+01,-7.343301e+01,-7.435489e+01,-7.846072e+01,-8.125739e+01,-8.484229e+01,-9.850418e+01,-1.090134e+02,-1.094984e+02,-9.907706e+01,-8.044623e+01,-4.158297e+01,-5.464536e+00,6.000305e+00,9.679095e+00,1.328062e+01,1.345125e+01,1.405952e+01,1.329325e+01,1.311447e+01,1.529664e+01
1.078767e+01,1.177959e+01,8.172812e+00,1.172906e+01,1.180908e+01,8.746672e+00,1.396553e+01,1.466956e+01,1.579449e+01,-9.354671e+00,-2.498897e+01,-4.759070e+01,-6.564899e+01,-7.827642e+01,-6.755132e+01,-5.607272e+01,-4.608180e+01,-3.735796e+01,-3.717242e+01,-4.427254e+01,-4.770881e+01,-4.037975e+01,-2.746744e+01,-2.513684e+01,-2.853349e+01,-3.696539e+01,-3.938491e+01,-2.908149e+01,-3.049385e+01,-3.571423e+01,-3.632628e+01,-3.204694e+01,-2.847760e+01,-2.912533e+01,-2.741816e+01,-1.878527e+01,-2.362778e+01,-2.390719e+01,-3.327328e+01,-4.105482e+01,-4.542156e+01,-4.367036e+01,-3.307141e+01,-1.643723e+01,-2.404220e+00,3.872028e+00,5.865104e+00,9.160426e+00,1.090977e+01,1.040979e+01,1.185627e+01
9.131982e+00,1.099235e+01,8.169384e+00,1.085361e+01,1.038634e+01,1.073088e+01,1.499136e+01,1.541376e+01,1.709475e+01,1.541880e+01,4.701584e+00,9.242293e+00,7.030643e+00,-3.371527e+00,-1.040101e+00,7.897225e+00,1.315663e+01,1.767209e+01,1.587612e+01,1.437749e+01,1.738409e+01,1.680046e+01,1.172611e+01,9.703083e+00,9.030576e+00,1.190493e+01,1.209052e+01,1.122447e+01,1.194817e+01,1.604168e+01,1.118770e+01,5.872663e+00,4.828873e-01,5.601139e+00,9.424820e+00,8.803225e+00,9.574885e+00,9.509500e+00,1.170266e+01,1.892097e+01,2.188508e+01,1.771804e+01,8.752903e+00,3.975698e+00,4.762768e+00,4.864551e+00,5.309518e+00,1.049432e+01,1.208724e+01,1.083674e+01,1.346198e+01
8.922094e+00,1.178203e+01,1.117378e+01,1.239649e+01,1.091060e+01,1.288589e+01,1.544489e+01,1.711991e+01,1.764811e+01,1.244444e+01,1.940718e+01,3.070863e+01,3.514696e+01,3.569846e+01,3.608118e+01,3.257364e+01,2.949602e+01,3.198586e+01,2.734320e+01,2.535834e+01,2.576740e+01,2.335008e+01,1.663964e+01,1.922060e+01,2.201972e+01,1.763723e+01,1.671588e+01,1.091610e+01,7.415667e+00,9.646246e+00,9.934325e+00,1.775984e+01,2.351718e+01,2.526684e+01,1.723613e+01,1.562056e+01,1.611517e+01,1.439449e+01,1.644369e+01,2.383153e+01,2.763802e+01,2.675752e+01,2.364090e+01,1.997486e+01,1.590474e+01,1.034643e+01,8.296528e+00,1.236146e+01,1.102605e+01,8.907774e+00,1.272944e+01
9.012674e+00,1.090951e+01,1.199930e+01,1.175792e+01,9.702680e+00,1.001426e+01,1.175948e+01,1.524521e+01,1.340763e+01,-3.515490e+00,-2.151623e+01,-2.422533e+01,-1.886026e+01,-1.652334e+01,-9.004803e+00,-4.462903e+00,-1.167521e+01,-7.794938e+00,-9.968639e+00,-1.283327e+01,-1.441666e+01,-1.509088e+01,-1.433715e+01,-1.098592e+01,-1.070008e+01,-1.309954e+01,-9.670574e+00,-4.972664e+00,-6.156276e+00,-1.147659e+01,-1.841881e+01,-1.854899e+01,-1.231767e+01,-7.725224e+00,-5.881057e+00,-2.782697e+00,-5.496958e+00,-9.194600e+00,-8.235053e+00,-2.298747e+00,-1.239394e+00,4.201977e+00,7.691636e+00,1.447715e+01,1.671689e+01,1.181377e+01,9.902065e+00,1.066495e+01,7.426596e+00,5.748327e+00,7.925208e+00
8.155583e+00,9.030163e+00,1.032347e+01,8.247982e+00,6.620481e+00,5.331707e+00,7.256312e+00,1.093548e+01,7.721110e+00,6.153967e+00,1.261640e+01,1.131585e+01,8.441233e+00,1.144776e+01,1.248573e+01,1.645997e+01,1.532048e+01,1.606999e+01,1.672823e+01,1.708763e+01,1.812746e+01,2.335411e+01,2.208828e+01,1.989786e+01,2.278606e+01,1.846566e+01,2.117619e+01,2.511394e+01,2.993833e+01,3.325801e+01,2.905944e+01,2.195609e+01,2.280827e+01,2.559703e+01,2.772984e+01,3.164584e+01,3.321048e+01,3.119296e+01,2.958363e+01,2.652237e+01,2.067611e+01,1.093943e+01,3.561726e+00,4.031638e+00,8.410960e+00,7.484159e+00,8.880032e+00,7.437269e+00,4.357361e+00,4.363955e+00,4.124288e+00
5.930276e+00,7.481974e+00,8.374123e+00,4.455536e+00,3.784300e+00,4.036489e+00,5.926320e+00,7.395008e+00,5.396181e+00,7.816452e+00,5.097555e+00,6.187899e+00,9.659734e+00,1.397071e+01,1.612692e+01,1.606027e+01,1.427897e+01,1.328680e+01,1.709187e+01,1.814270e+01,1.846883e+01,1.924438e+01,1.828593e+01,1.859759e+01,1.963356e+01,1.567688e+01,1.733675e+01,1.827280e+01,1.832961e+01,1.292506e+01,1.376768e+01,1.855844e+01,2.404145e+01,2.014690e+01,9.646005e+00,7.416189e+00,1.011294e+01,8.782917e+00,8.648031e+00,6.886045e+00,2.688406e+00,-3.282777e+00,-1.810455e+00,-3.267498e+00,3.411677e-01,1.932648e+00,6.485445e+00,5.627051e+00,3.146878e+00,4.628159e+00,4.400894e+00
2.982160e+00,5.084157e+00,6.261683e+00,2.106857e+00,2.148401e+00,5.484993e+00,6.240520e+00,4.812003e+00,5.529315e+00,-4.900179e+00,-1.677968e+01,-1.496400e+01,-1.947560e+00,7.113832e+00,6.512623e+00,1.051451e+00,-2.665395e+00,-3.386986e+00,1.261265e+00,2.414749e+00,-1.856774e+00,-2.236246e+00,-3.461882e+00,-6.473540e+00,-5.727243e+00,1.523147e-01,-1.041090e+00,6.610829e-01,-1.856341e+00,-1.119745e+01,-1.751984e+01,-1.994854e+01,-2.328157e+01,-1.874520e+01,-1.171080e+01,-9.254077e+00,-1.349599e+01,-1.727250e+01,-1.594426e+01,-2.090929e+01,-2.457426e+01,-2.359620e+01,-1.460410e+01,-9.809036e+00,-2.826253e+00,-9.923583e-01,3.184153e+00,3.991443e+00,2.564927e+00,4.528629e+00,5.282819e+00
