Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24
-5.107211e+02,-4.970861e+02,-4.819865e+02,-3.700897e+02,-2.896264e+02,-2.460990e+02,-2.170009e+02,-1.996580e+02,-1.958535e+02,-1.671598e+02,-1.238047e+02,-9.659064e+01,-5.510213e+01,-3.959594e+01,-4.134975e+01,-3.914013e+01,-5.544286e+01,-1.097393e+02,-1.936590e+02,-2.964705e+02,-3.828376e+02,-4.340279e+02,-4.685434e+02,-4.827046e+02
3.784852e+01,4.950951e+01,5.533394e+01,-7.777724e+00,-3.529043e+01,-5.815536e+01,-8.146629e+01,-8.376925e+01,-8.555409e+01,-4.186636e+01,5.448317e+00,3.377892e+01,3.268569e+01,2.841793e+01,3.744009e+01,6.128428e+01,9.588033e+01,1.192948e+02,1.390933e+02,1.608154e+02,1.511392e+02,1.079548e+02,7.103525e+01,5.469512e+01
4.133515e+00,3.549072e+00,1.354510e+01,3.486948e+01,3.725211e+01,3.830436e+01,3.973923e+01,3.630093e+01,3.396432e+01,5.375784e+01,3.378474e+01,-1.543262e+01,-5.388059e+01,-5.741075e+01,-6.377310e+01,-6.900202e+01,-5.300086e+01,-2.755533e+01,4.476572e+00,1.541935e+01,8.808529e+00,4.055727e+00,-5.567019e+00,-1.302271e+01
-9.019730e+00,-1.046865e+01,-1.200522e+01,1.087432e+00,7.691034e+00,1.253517e+01,1.557323e+01,1.374483e+01,1.237637e+01,2.264638e+01,2.606307e+01,2.654077e+01,1.766404e+01,2.675415e+00,-2.044027e+01,-4.646661e+01,-6.775453e+01,-7.728407e+01,-6.961526e+01,-4.964282e+01,-4.184827e+01,-3.920742e+01,-2.495981e+01,-2.381898e+01
-3.625383e+00,3.499450e+00,5.877872e+00,-1.113250e+01,-9.512105e+00,-2.576295e+00,-6.589139e+00,-1.238795e+01,-1.268067e+01,-1.771637e+01,-3.780431e+01,-5.618105e+01,-5.769585e+01,-5.320963e+01,-4.717641e+01,-4.749924e+01,-4.928368e+01,-4.729367e+01,-3.787089e+01,-2.189555e+01,-1.034539e+01,-1.641868e+01,3.635477e+00,8.299382e+00
3.436126e-01,1.020818e+01,8.957882e+00,2.373690e+01,3.153524e+01,2.863405e+01,1.386595e+01,-1.140275e+00,7.572415e-01,-2.412787e+00,-6.361203e+00,4.266120e+00,2.599322e+01,3.768433e+01,5.079944e+01,5.160723e+01,4.224155e+01,3.934504e+01,4.298515e+01,2.663326e+01,5.899090e+00,5.552583e+00,1.598411e+01,1.960641e+01
1.626580e+00,4.082456e+00,2.888361e+00,-1.746687e+01,-1.732574e+01,-1.488335e+01,-1.359809e+01,-1.323671e+01,-8.230239e+00,-2.148861e+01,-2.809601e+01,-4.180511e+01,-3.814153e+01,-3.514761e+01,-3.810669e+01,-3.960299e+01,-4.303095e+01,-4.461195e+01,-4.636716e+01,-3.943808e+01,-1.120575e+01,2.201273e+00,3.409590e+00,5.579331e+00
6.380094e+00,3.185250e+00,3.820947e-01,2.096240e+01,2.646148e+01,3.046164e+01,3.292582e+01,3.247211e+01,2.995487e+01,1.320400e+00,-1.086849e+01,6.464184e+00,2.878978e+01,3.504012e+01,3.177253e+01,2.652553e+01,2.202674e+01,2.255726e+01,2.037157e+01,6.057806e+00,-3.951544e+00,3.188795e+00,3.047253e+00,4.321789e+00
6.518078e+00,6.926996e+00,8.433149e+00,5.553827e+00,1.011326e+01,7.510868e+00,2.858301e-01,1.781383e+00,4.413318e+00,-2.377662e+01,-1.690604e+01,-3.115080e+00,3.544497e+00,4.076375e+00,4.832904e-01,-1.392813e+00,1.809087e+00,4.518201e+00,6.702507e+00,1.284503e+01,1.955193e+01,1.792689e+01,1.687782e+01,1.500205e+01
-4.056516e+00,1.046051e+00,9.467003e+00,-1.184491e+01,-1.484990e+01,-1.455136e+01,-1.005697e+01,-3.350278e+00,-2.412545e-01,-1.667632e+01,-1.117822e+01,5.959682e+00,1.308174e+01,8.282098e+00,2.546961e+00,3.816433e+00,7.396478e+00,1.148074e+01,1.749295e+01,2.073276e+01,2.025940e+01,2.027639e+01,1.515718e+01,8.968256e+00
-1.310024e+01,-1.052230e+01,-1.596986e+00,8.634911e+00,8.539515e+00,7.383128e+00,1.059720e+01,8.473673e+00,5.220044e+00,-6.068420e+00,-1.069928e+01,-2.064966e+01,-2.719474e+01,-2.884295e+01,-2.837374e+01,-2.628252e+01,-2.255199e+01,-1.551266e+01,-7.608751e+00,-4.933723e+00,-5.305742e+00,2.475777e+00,-2.267098e+00,-7.659701e+00
-1.005562e+01,-1.211686e+01,-8.472502e+00,-9.739592e+00,-6.868958e+00,-3.327819e+00,-3.377646e+00,-7.396932e+00,-4.805594e+00,-7.752157e+00,-3.912697e+00,6.291563e+00,9.701532e+00,6.994672e+00,3.282219e+00,2.064680e-01,-8.360911e+00,-1.284082e+01,-1.106310e+01,-1.544877e+01,-1.933251e+01,-1.241610e+01,-9.529731e+00,-8.083357e+00
-2.947522e+00,-4.199223e+00,-5.355022e+00,-6.125850e+00,-1.346383e+01,-9.691730e+00,-3.829470e+00,-5.528772e+00,-8.949300e+00,-1.272207e+00,-2.744560e+00,-1.376101e+01,-2.618617e+01,-2.873157e+01,-2.296319e+01,-1.267695e+01,-7.118576e+00,-9.105835e+00,-1.334117e+01,-6.645985e+00,-1.312860e+01,-1.225557e+01,-4.001566e+00,1.821983e+00
