Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46
-5.213504e+02,-5.121821e+02,-5.129330e+02,-5.129857e+02,-5.138810e+02,-5.127157e+02,-5.130178e+02,-4.976721e+02,-3.132733e+02,-2.059926e+02,-1.705578e+02,-1.247907e+02,-1.089310e+02,-1.406556e+02,-1.447358e+02,-1.440175e+02,-1.472160e+02,-1.510423e+02,-1.442219e+02,-1.409977e+02,-1.345961e+02,-1.284712e+02,-1.280364e+02,-1.181383e+02,-1.097247e+02,-9.845111e+01,-1.001628e+02,-9.358411e+01,-8.611218e+01,-8.626537e+01,-8.645532e+01,-7.897416e+01,-9.204202e+01,-1.175207e+02,-1.397952e+02,-1.769792e+02,-2.524923e+02,-3.526102e+02,-4.271358e+02,-4.637947e+02,-4.808078e+02,-4.823462e+02,-4.799063e+02,-4.811456e+02,-4.904254e+02,-5.066600e+02
3.760208e+01,4.510422e+01,4.266364e+01,4.215529e+01,4.177698e+01,4.312257e+01,4.336992e+01,5.251081e+01,8.517729e+01,1.181615e+02,1.496395e+02,1.410601e+02,1.041589e+02,6.726683e+01,6.067820e+01,5.954023e+01,5.728421e+01,5.662006e+01,5.757310e+01,5.479958e+01,5.286916e+01,6.056107e+01,6.402661e+01,6.264692e+01,6.254140e+01,6.652861e+01,6.384486e+01,5.806418e+01,5.714029e+01,5.776709e+01,5.693538e+01,5.511341e+01,6.129108e+01,7.300833e+01,7.812222e+01,8.646149e+01,1.201853e+02,1.365450e+02,1.066886e+02,7.553304e+01,6.246698e+01,6.069231e+01,6.315819e+01,6.324110e+01,6.067307e+01,5.070451e+01
1.963804e+01,2.308738e+01,2.312509e+01,2.113930e+01,1.705171e+01,1.918519e+01,1.920511e+01,1.301552e+01,-5.040201e+01,-5.751178e+01,-6.914746e+01,-6.514286e+01,-4.249988e+01,-5.284629e+00,1.251759e+00,-1.617576e+00,-5.007482e+00,-1.725385e+00,-7.822388e+00,-1.060555e+01,-1.509224e+01,-1.019657e+01,-1.247830e+01,-2.528480e+01,-3.570629e+01,-4.308926e+01,-4.206888e+01,-4.771648e+01,-5.535923e+01,-6.095586e+01,-5.864735e+01,-6.181839e+01,-6.389194e+01,-5.594338e+01,-5.217647e+01,-4.251367e+01,-3.654166e+01,-2.138866e+01,-1.155746e+01,-6.786486e+00,1.586380e+00,5.045539e+00,1.224203e+01,1.483418e+01,1.557206e+01,1.649573e+01
9.644844e+00,1.375815e+01,1.776692e+01,1.388952e+01,7.361165e+00,1.045721e+01,1.086970e+01,5.446459e+00,1.839877e+01,1.420745e+01,-4.729395e+00,-4.248099e+01,-5.019837e+01,-2.675508e+01,-2.144200e+01,-2.589649e+01,-2.750873e+01,-2.431368e+01,-2.635336e+01,-2.312250e+01,-2.395346e+01,-2.481702e+01,-2.426623e+01,-3.133376e+01,-3.659142e+01,-4.201845e+01,-3.499619e+01,-2.675202e+01,-2.187966e+01,-1.989092e+01,-1.986218e+01,-1.852029e+01,-2.005248e+01,-2.269390e+01,-2.895399e+01,-2.615446e+01,-3.028300e+01,-3.567374e+01,-3.814958e+01,-2.547213e+01,-1.258580e+01,-1.287576e+01,-1.047947e+01,-2.771813e+00,-6.929249e-01,1.839232e-01
6.034661e+00,9.491838e+00,1.208281e+01,7.365690e+00,5.958275e+00,8.528955e+00,1.065491e+01,8.531575e+00,-1.259068e+01,-1.873595e+01,-2.641427e+01,-3.190934e+01,-2.873495e+01,-2.307205e+01,-2.166931e+01,-2.725781e+01,-3.018441e+01,-2.448122e+01,-2.290686e+01,-2.163830e+01,-2.250653e+01,-2.346258e+01,-2.048487e+01,-2.445847e+01,-2.481438e+01,-2.625675e+01,-2.212820e+01,-2.045566e+01,-2.155063e+01,-2.199678e+01,-2.188261e+01,-2.398199e+01,-2.426984e+01,-2.389673e+01,-2.197283e+01,-2.147151e+01,-1.245384e+01,-2.739638e+00,-6.222516e+00,1.451916e+00,8.987273e+00,1.079260e+01,9.519500e+00,1.060456e+01,3.448192e+00,2.543694e+00
1.333386e+01,1.768010e+01,2.122850e+01,1.747552e+01,1.663331e+01,1.874593e+01,1.917011e+01,1.704322e+01,-1.904742e+00,9.312880e-01,1.861573e+01,4.366636e+01,4.884320e+01,4.428580e+01,4.557878e+01,4.584951e+01,4.253784e+01,4.360429e+01,4.399493e+01,4.272549e+01,4.969582e+01,5.552864e+01,5.681817e+01,5.555076e+01,5.654427e+01,5.479829e+01,5.418515e+01,5.438989e+01,5.752429e+01,6.159139e+01,6.709390e+01,6.749817e+01,6.523996e+01,6.359847e+01,6.436254e+01,5.979075e+01,3.774708e+01,1.245680e+01,9.504297e+00,1.281106e+01,1.250954e+01,1.275762e+01,1.047082e+01,1.287223e+01,1.191103e+01,1.499461e+01
1.352485e+01,1.369354e+01,1.682850e+01,1.540155e+01,1.403536e+01,1.474705e+01,1.406984e+01,1.229133e+01,6.790058e+00,-1.037439e+01,-1.925579e+01,-3.335168e+01,-3.909953e+01,-3.623502e+01,-3.232725e+01,-3.090709e+01,-3.420483e+01,-3.618028e+01,-3.966327e+01,-3.976542e+01,-3.784295e+01,-3.667678e+01,-3.742362e+01,-4.401580e+01,-4.353835e+01,-4.140142e+01,-4.073953e+01,-4.443913e+01,-4.313096e+01,-4.016228e+01,-3.650865e+01,-3.664724e+01,-3.476573e+01,-3.627416e+01,-3.188223e+01,-2.807002e+01,-2.607431e+01,-1.002329e+01,1.556325e+00,1.266708e+01,9.477033e+00,1.142423e+01,1.430057e+01,1.783271e+01,1.815326e+01,2.019015e+01
4.160545e+00,7.393580e-01,-5.793118e-02,4.877074e-01,-5.849851e-01,-9.375999e-01,4.948363e-01,-1.190817e+00,-6.809099e+00,-5.135998e+00,-1.530399e+00,8.798365e+00,1.420218e+01,1.365895e+01,1.526018e+01,1.679926e+01,1.947405e+01,2.401945e+01,2.773538e+01,2.766490e+01,3.185877e+01,3.339459e+01,3.454539e+01,3.748860e+01,4.295819e+01,4.374722e+01,3.953799e+01,3.642186e+01,3.594248e+01,3.649579e+01,3.997057e+01,4.143906e+01,4.002176e+01,3.519599e+01,3.483489e+01,2.659534e+01,1.622410e+01,2.953638e+00,-4.180953e-02,1.334129e+01,7.124744e+00,6.129547e+00,5.478582e+00,7.659302e+00,9.761594e+00,1.199375e+01
1.751033e+00,2.444402e+00,4.825933e+00,5.746342e+00,8.778242e-01,1.948062e+00,3.654183e+00,4.261999e+00,-3.675065e+00,-1.204841e+01,-8.920256e+00,-9.721036e-01,-3.185284e+00,-5.266968e+00,-3.154932e+00,-1.691481e+00,-8.667388e-01,-3.193965e+00,-2.180599e+00,-8.620527e-01,1.258553e+00,3.946418e+00,3.454199e+00,-2.690076e+00,-3.849583e+00,-5.422255e+00,-9.872029e+00,-1.373010e+01,-1.537807e+01,-1.594715e+01,-1.762656e+01,-1.489227e+01,-1.357310e+01,-1.557428e+01,-1.230114e+01,-1.309310e+01,-6.276389e+00,-2.470882e+00,7.577157e+00,1.319175e+01,1.016226e+01,1.033986e+01,8.336802e+00,8.528540e+00,7.567365e+00,6.592299e+00
-1.525286e+00,-5.045529e-01,3.622612e+00,4.113489e+00,1.088765e+00,3.598669e+00,4.875395e+00,6.857137e+00,1.551143e+01,3.714058e+00,-1.607236e+00,7.447410e+00,1.834321e+01,2.191518e+01,2.209749e+01,2.018911e+01,2.042991e+01,1.896995e+01,1.743844e+01,1.903169e+01,1.866784e+01,1.754198e+01,1.575399e+01,1.245998e+01,1.174144e+01,1.110215e+01,1.250321e+01,6.929680e+00,4.587726e+00,5.220047e+00,1.577953e+00,-4.223667e-01,-2.929004e+00,-5.704074e+00,-8.954862e+00,-1.227280e+01,-1.509170e+01,-7.428651e+00,9.480458e-01,3.057045e+00,1.795111e+00,4.443255e-01,1.276503e+00,4.445580e+00,5.458205e+00,4.603680e+00
-2.053939e+00,-3.177226e+00,-1.341508e+00,-1.044143e+00,-2.086807e+00,1.910137e+00,3.043942e+00,5.625589e-01,8.659025e+00,2.252054e+00,5.588618e+00,-2.094358e+00,-1.154449e+01,-1.483316e+01,-1.435958e+01,-1.515346e+01,-1.670998e+01,-1.511381e+01,-1.799562e+01,-1.714612e+01,-1.256096e+01,-1.352413e+01,-1.667616e+01,-1.381997e+01,-1.179025e+01,-1.187037e+01,-1.346283e+01,-1.427759e+01,-1.386255e+01,-1.411442e+01,-1.513041e+01,-1.425162e+01,-1.717357e+01,-2.187654e+01,-1.977324e+01,-1.790760e+01,-1.319830e+01,-1.307809e+01,-1.074971e+01,-1.210091e-01,-1.230809e-01,-3.000641e+00,-1.040912e+00,8.742639e-02,-5.678090e-01,-6.967939e-01
