Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49,Coeff 50
-5.103206e+02,-4.994081e+02,-4.992434e+02,-4.967928e+02,-4.957552e+02,-4.873283e+02,-4.804901e+02,-4.737974e+02,-4.141076e+02,-2.940737e+02,-2.206485e+02,-1.819154e+02,-1.456411e+02,-1.482448e+02,-1.672190e+02,-1.782637e+02,-1.756748e+02,-1.670811e+02,-1.708137e+02,-1.674246e+02,-1.653276e+02,-1.535004e+02,-1.397962e+02,-1.334780e+02,-1.229580e+02,-1.125490e+02,-1.015095e+02,-8.512190e+01,-6.996230e+01,-4.122210e+01,-1.820097e+01,-4.514733e+01,-1.152839e+02,-1.851776e+02,-2.685029e+02,-3.348958e+02,-3.821112e+02,-4.452255e+02,-4.867657e+02,-4.932669e+02,-4.959170e+02,-4.971877e+02,-4.931156e+02,-4.815493e+02,-4.793497e+02,-4.774817e+02,-4.706191e+02,-4.661490e+02,-4.663053e+02,-4.711990e+02
3.699274e+01,4.788911e+01,4.841985e+01,5.002502e+01,5.065054e+01,6.361456e+01,7.236685e+01,7.961285e+01,8.649385e+01,1.108850e+02,1.086002e+02,9.875972e+01,8.902560e+01,7.855546e+01,6.800018e+01,6.079164e+01,5.477643e+01,5.000432e+01,4.972575e+01,5.141219e+01,4.972822e+01,4.874037e+01,4.414442e+01,4.204379e+01,4.561201e+01,4.331439e+01,3.899836e+01,4.008308e+01,4.112092e+01,4.665796e+01,5.835801e+01,6.051004e+01,7.864697e+01,1.103236e+02,1.306358e+02,1.402366e+02,1.227981e+02,8.107320e+01,5.323794e+01,4.731999e+01,5.001219e+01,5.113752e+01,5.216052e+01,6.002881e+01,6.509038e+01,6.846616e+01,7.328462e+01,7.321544e+01,7.201009e+01,7.203920e+01
1.849846e+01,2.081492e+01,2.207687e+01,2.147051e+01,2.086217e+01,3.330900e+01,3.902160e+01,4.209682e+01,-1.398502e+01,-2.853289e+01,-1.141777e+01,-7.166681e+00,-1.699447e+01,-9.629572e+00,3.565546e+00,8.993884e+00,2.635038e+00,-3.024510e+00,1.020831e+00,-1.380233e-01,-2.480230e+00,-6.579483e+00,-1.187164e+01,-1.685146e+01,-1.729277e+01,-2.181943e+01,-2.785563e+01,-3.712445e+01,-5.197703e+01,-8.238174e+01,-9.476074e+01,-8.642596e+01,-6.566713e+01,-5.533551e+01,-4.193581e+01,-3.014783e+01,-2.622311e+01,-7.629917e+00,9.286947e+00,1.295124e+01,2.242920e+01,2.529639e+01,1.987510e+01,1.310088e+01,2.047786e+01,2.782564e+01,2.646160e+01,1.733232e+01,1.412321e+01,2.013028e+01
1.133120e+01,9.299801e+00,1.133351e+01,1.200012e+01,1.081826e+01,1.729891e+01,1.875919e+01,2.033644e+01,2.293878e+01,8.825968e+00,1.439681e+00,-1.813818e+01,-1.928819e+01,-2.237360e+01,-2.118354e+01,-1.375876e+01,-1.405682e+01,-1.615408e+01,-1.673808e+01,-2.696498e+01,-3.006805e+01,-2.860525e+01,-2.452429e+01,-2.207001e+01,-2.038150e+01,-2.162546e+01,-2.106377e+01,-2.238313e+01,-2.407774e+01,-2.914034e+01,-2.833348e+01,-2.217544e+01,-2.235973e+01,-2.004648e+01,-1.534417e+01,-2.659502e+01,-2.745708e+01,-1.836193e+01,-3.845279e+00,3.868353e+00,9.174425e+00,1.012292e+01,5.421601e+00,-4.723557e+00,-7.550521e-01,8.365534e+00,6.312305e+00,-3.639646e+00,-7.891135e+00,-3.515347e+00
1.681105e+01,1.603651e+01,1.838456e+01,2.101253e+01,1.886129e+01,1.783051e+01,1.708387e+01,2.083777e+01,6.176362e+01,4.629390e+01,1.978234e+01,8.049757e+00,5.649340e+00,3.584978e+00,4.417118e+00,6.650718e+00,2.231203e+00,-2.296801e+00,3.880367e+00,1.915425e+00,4.456939e+00,1.124154e+01,1.078510e+01,1.143761e+01,1.130822e+01,1.520291e+01,1.561236e+01,1.304426e+01,9.635357e+00,8.778779e+00,5.684603e+00,-3.523598e+00,-5.789299e+00,6.475033e-01,1.512710e+01,2.471247e+01,2.944790e+01,1.622394e+01,1.000094e+01,1.053352e+01,7.734863e+00,8.191360e+00,6.707730e+00,3.068783e+00,2.629876e-01,3.387805e+00,1.492359e+00,-4.498047e+00,-6.599277e+00,-1.089608e+00
1.997107e+01,2.122605e+01,2.294293e+01,2.412764e+01,2.102886e+01,1.672545e+01,1.774313e+01,2.335231e+01,2.228881e+01,2.372650e+00,1.481246e+01,1.722320e+01,1.634824e+01,2.388527e+01,2.741907e+01,2.815029e+01,2.949396e+01,3.488834e+01,3.895213e+01,4.135159e+01,4.201990e+01,4.569853e+01,4.259788e+01,3.904397e+01,3.811255e+01,3.891052e+01,3.669763e+01,3.775231e+01,3.477166e+01,3.468845e+01,3.811106e+01,4.408898e+01,4.677631e+01,4.202691e+01,3.801478e+01,2.600682e+01,2.143073e+01,2.240338e+01,2.521703e+01,2.105460e+01,1.404370e+01,1.384700e+01,1.118931e+01,1.050218e+01,6.540212e+00,3.277718e+00,1.113209e+00,1.268557e+00,3.406474e+00,7.348199e+00
1.272630e+01,1.377025e+01,1.384678e+01,1.267157e+01,1.099858e+01,6.532632e+00,1.064989e+01,1.460137e+01,-9.020073e+00,-2.934905e+01,-4.012757e+01,-4.049469e+01,-3.944919e+01,-3.287652e+01,-2.161203e+01,-2.374274e+01,-3.092982e+01,-3.348327e+01,-3.449710e+01,-3.669314e+01,-3.726968e+01,-4.192777e+01,-4.346329e+01,-4.073825e+01,-3.976462e+01,-3.757998e+01,-3.593435e+01,-2.901868e+01,-2.234944e+01,-2.042483e+01,-2.289878e+01,-2.323224e+01,-2.064408e+01,-1.461103e+01,-7.653207e+00,-3.731144e+00,-1.605753e+00,1.063941e+01,2.346400e+01,1.756749e+01,1.300174e+01,1.338173e+01,8.440494e+00,7.573815e+00,8.170246e+00,1.219641e+00,-4.618455e-01,5.801125e+00,9.762039e+00,1.001013e+01
2.728784e+00,2.696494e+00,1.005895e+00,1.469380e+00,2.902277e+00,-2.729373e+00,2.102226e+00,2.530157e+00,8.429738e-01,5.695262e+00,8.803630e+00,8.229358e+00,8.468586e+00,1.379012e+01,2.268551e+01,2.100244e+01,1.839187e+01,1.894676e+01,2.215886e+01,2.248270e+01,2.417097e+01,2.964861e+01,3.206120e+01,3.015268e+01,3.145618e+01,3.734323e+01,4.003447e+01,3.198410e+01,2.910100e+01,3.443614e+01,3.244933e+01,3.024048e+01,2.411679e+01,1.195613e+01,6.765165e+00,7.922308e+00,9.122326e+00,1.221623e+01,1.060810e+01,4.263427e+00,3.308753e+00,4.415780e+00,1.747700e+00,3.678851e+00,7.298395e+00,-5.761339e-01,-1.863086e+00,2.423566e+00,6.505845e+00,8.147343e+00
-1.207041e+00,-1.499287e+00,-3.634099e+00,1.027767e+00,3.664571e+00,-3.175536e+00,-1.191703e-01,-2.403215e+00,7.513601e+00,-2.214679e-01,3.679435e+00,1.174164e+01,1.625355e+01,1.422427e+01,9.954252e+00,9.502074e+00,6.010365e+00,7.568532e-01,-1.519258e+00,2.549715e+00,5.024619e+00,9.344436e+00,1.019938e+01,7.771560e+00,5.773064e+00,-9.065269e-01,-3.790468e+00,-1.180011e+00,-3.847201e-01,-1.687785e+00,-8.493750e+00,-1.180400e+01,-6.852905e+00,-3.179744e+00,-4.301775e+00,-1.092991e+00,8.668310e+00,1.051993e+01,4.488883e+00,4.683040e+00,1.879666e+00,-4.706813e-01,1.320815e+00,4.863110e+00,6.885273e+00,2.855793e+00,1.731640e+00,2.417320e-01,5.720938e+00,6.068418e+00
-1.167424e+00,-1.086928e+00,-1.893414e+00,3.710401e+00,5.192152e+00,2.106285e-01,7.681543e-01,-3.070593e+00,2.088351e+00,1.419636e+01,1.408646e+01,1.124657e+01,9.885351e+00,9.250840e+00,9.949518e+00,1.339601e+01,1.120741e+01,7.142354e+00,1.011176e+01,1.253447e+01,1.492354e+01,1.917368e+01,1.786223e+01,1.650275e+01,1.227337e+01,1.084230e+01,1.056096e+01,1.179999e+01,1.479456e+01,1.271148e+01,-2.009557e+00,-8.686666e+00,-8.219360e+00,-1.412955e+01,-1.970209e+01,-2.056177e+01,-1.505780e+01,-5.990426e+00,1.407937e+00,5.325272e+00,1.029110e+00,-1.618002e+00,1.638659e+00,2.588642e+00,-3.678137e-01,-3.027544e+00,-4.197010e+00,-5.874379e+00,1.137742e-01,-2.976559e+00
-3.129193e+00,-2.304471e+00,-1.615529e+00,2.818766e-01,9.566258e-01,-9.478247e-01,-3.151808e+00,-6.996802e+00,-1.611461e+01,-1.612480e+01,-1.199693e+01,-8.535769e+00,-7.640223e+00,-1.212300e+01,-1.736708e+01,-1.836925e+01,-2.245605e+01,-2.093065e+01,-1.788810e+01,-1.540252e+01,-1.573123e+01,-1.756972e+01,-1.800251e+01,-1.506177e+01,-1.827716e+01,-2.490250e+01,-2.468456e+01,-2.894555e+01,-3.099709e+01,-3.330276e+01,-3.853479e+01,-3.805060e+01,-4.082147e+01,-3.987643e+01,-3.023415e+01,-1.976618e+01,-1.949222e+01,-1.426634e+01,-3.759383e+00,-7.824825e-01,-3.328328e+00,-2.127388e+00,1.571039e-01,-2.771737e+00,-9.898684e+00,-1.403669e+01,-1.608088e+01,-1.884653e+01,-1.413957e+01,-1.535611e+01
-6.134391e+00,-3.992006e+00,-3.906818e+00,-6.275680e+00,-5.722183e+00,-7.421266e+00,-1.171292e+01,-1.316736e+01,-8.014085e+00,5.962834e+00,1.230815e+01,1.200298e+01,8.407364e+00,8.446006e+00,8.097213e+00,6.080728e+00,1.239344e+00,4.203416e+00,6.613289e+00,2.035773e+00,4.015467e-01,-2.011449e+00,1.344194e+00,6.691059e+00,8.380877e+00,3.734722e+00,-3.889593e+00,-1.985397e+00,-4.834914e+00,-7.540082e+00,-1.337611e+00,1.634789e+00,1.863212e+00,6.830056e+00,7.470505e+00,2.155375e+00,-2.623340e+00,-5.910241e+00,-2.796562e+00,1.472282e+00,-6.779413e-01,3.030217e-01,1.217600e+00,-4.685396e+00,-1.084194e+01,-1.040279e+01,-1.360410e+01,-2.010012e+01,-1.754675e+01,-1.601949e+01
-5.294886e+00,-2.017112e+00,-4.707248e+00,-8.720531e+00,-9.120579e+00,-1.297233e+01,-1.660477e+01,-1.523201e+01,-2.916300e+00,-9.341201e+00,-1.498888e+01,-1.257315e+01,-8.945517e+00,-1.110505e+01,-1.449019e+01,-1.348767e+01,-1.380272e+01,-8.788592e+00,-1.840544e+00,4.176601e-01,-4.733722e+00,-5.663465e+00,-4.079247e+00,-7.886326e+00,-1.348893e+01,-2.103595e+01,-2.586826e+01,-2.482834e+01,-2.778696e+01,-2.066378e+01,-2.212104e-01,1.492006e+01,2.590561e+01,2.971172e+01,2.683517e+01,1.373373e+01,4.765877e+00,3.578758e+00,9.358349e-01,8.849611e-01,-1.383630e-01,-1.663496e-01,-2.145408e+00,-8.093191e+00,-8.738340e+00,-1.991386e+00,-2.769612e+00,-6.878629e+00,-6.247236e+00,-3.430218e+00
