Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23
-4.721062e+02,-4.581258e+02,-4.557183e+02,-3.935749e+02,-3.295481e+02,-2.637339e+02,-1.882827e+02,-1.357646e+02,-1.100530e+02,-8.802403e+01,-9.091569e+01,-1.139984e+02,-9.263042e+01,-7.462969e+01,-9.076504e+01,-1.412746e+02,-2.087969e+02,-2.767231e+02,-3.321980e+02,-3.849238e+02,-4.322874e+02,-4.526750e+02,-4.567638e+02
2.989769e+01,4.012432e+01,4.366692e+01,7.276071e+01,7.181964e+01,6.939713e+01,6.910956e+01,6.564224e+01,5.056939e+01,4.706630e+01,5.745316e+01,6.513428e+01,5.926292e+01,7.905925e+01,1.017078e+02,1.300345e+02,1.629146e+02,1.680005e+02,1.494871e+02,1.090452e+02,6.475438e+01,4.322753e+01,3.994441e+01
1.424862e+01,1.478494e+01,1.990414e+01,4.882405e+01,4.486703e+01,1.894060e+01,-1.263504e+00,-8.462002e+00,-2.283256e+01,-3.032366e+01,-2.555089e+01,-1.991897e+01,-2.924078e+01,-4.863153e+01,-4.964293e+01,-3.307585e+01,-3.331489e+00,1.738523e+01,2.600047e+01,3.089854e+01,2.344275e+01,1.481173e+01,1.530581e+01
1.331088e+01,1.353222e+01,1.786955e+01,5.807576e+01,7.421249e+01,6.386182e+01,4.230305e+01,2.292120e+01,7.899338e+00,-3.542233e+00,-9.879012e+00,-1.823907e+01,-1.991420e+01,-3.301238e+01,-4.135524e+01,-3.951051e+01,-2.614429e+01,-1.364884e+01,-1.546695e+00,8.009553e+00,1.205490e+01,1.148561e+01,1.368936e+01
1.566284e+00,-9.873379e-01,-2.153621e+00,-5.926878e+00,-2.830657e+01,-4.817009e+01,-5.374297e+01,-4.370569e+01,-3.318911e+01,-3.164940e+01,-2.771496e+01,-2.712110e+01,-3.002051e+01,-2.945709e+01,-2.764895e+01,-2.608935e+01,-2.840643e+01,-2.209107e+01,-6.597513e+00,-9.201237e+00,-1.331940e+01,-1.253187e+01,-9.538062e+00
6.814425e+00,6.989995e+00,1.896903e+00,2.421910e+01,4.725616e+01,4.715587e+01,3.174288e+01,1.633512e+01,2.083177e+01,2.919433e+01,3.288905e+01,3.884222e+01,4.656729e+01,4.546539e+01,4.323211e+01,3.859912e+01,3.011395e+01,1.084949e+01,5.410759e+00,7.061442e-01,-5.425901e+00,-6.458586e+00,-3.457418e+00
1.881035e+01,2.515683e+01,1.801781e+01,2.575227e+01,2.011489e+01,2.232801e+00,-9.664225e+00,-1.934794e+01,-2.892652e+01,-4.038093e+01,-4.368837e+01,-3.842948e+01,-3.896294e+01,-4.111323e+01,-4.765385e+01,-4.543687e+01,-2.999655e+01,-8.014899e+00,4.376930e+00,6.702378e+00,1.417150e+01,1.746977e+01,1.984705e+01
6.691716e+00,9.552680e+00,1.840804e+00,-1.721286e+01,-2.810476e+01,-2.533117e+01,-5.530240e+00,1.435315e+01,2.727590e+01,2.192928e+01,1.650470e+01,1.877208e+01,1.865554e+01,1.653031e+01,8.799603e+00,3.487756e+00,-9.173737e+00,-1.824286e+01,-2.623966e+01,-2.408451e+01,-7.624833e+00,3.578153e+00,5.298459e+00
4.368477e+00,5.697273e+00,1.162688e+00,-8.486258e+00,-2.513289e+00,-1.874314e+00,-1.268211e+00,4.066147e+00,1.012386e+01,1.292415e+01,1.106634e+01,9.857822e+00,3.412016e+00,9.685512e-01,-4.104692e+00,-4.781519e+00,-6.372483e+00,-7.411987e+00,-8.767282e+00,-1.122305e+01,-6.609076e+00,6.171699e+00,7.040649e+00
9.076887e+00,1.259740e+01,8.180270e+00,-5.574213e+00,-7.875652e+00,-5.750936e+00,1.345093e+00,5.253034e+00,6.287431e+00,8.981160e+00,1.039710e+01,1.258308e+01,1.612512e+01,1.845790e+01,1.846037e+01,2.127199e+01,1.926250e+01,1.438404e+01,1.927159e+01,1.622285e+01,9.214894e+00,1.998046e+01,2.027583e+01
-3.474307e+00,-5.071945e+00,-1.290469e+01,-2.991621e+01,-2.376425e+01,-1.421160e+01,-1.142539e+01,-7.661051e+00,-7.762078e+00,-1.456993e+01,-1.796356e+01,-2.019494e+01,-1.545427e+01,-9.367862e+00,-5.283780e+00,1.468286e-03,7.033244e+00,9.037605e+00,4.151298e-01,-3.260196e+00,-6.900731e+00,-1.317563e+00,-2.053484e+00
-3.921859e+00,-6.857539e+00,-1.375076e+01,-2.366212e+01,-1.689199e+01,-5.728139e+00,2.084776e+00,5.041628e+00,8.481137e+00,7.558136e+00,5.198860e+00,6.685923e-01,2.225060e+00,1.554782e+00,4.456593e+00,3.042388e+00,-2.558276e+00,1.109561e+00,3.134521e+00,-3.293774e+00,-4.088361e+00,-6.411983e+00,-8.467817e+00
-1.538185e-01,1.227928e+00,-2.499163e+00,-1.755584e+01,-1.138271e+01,-2.420955e+00,-1.561099e+01,-2.708204e+01,-1.853409e+01,-1.823880e+01,-1.872479e+01,-1.224085e+01,-1.699905e+01,-1.623109e+01,-9.034344e+00,2.531687e+00,1.603766e+01,1.505814e+01,1.080221e+01,6.523667e+00,3.238875e+00,-1.081652e-01,-1.354129e+00
